draw_date,draw_num,winning_numbers,mega_ball,mega_ball_mod2,multiplier,pick5_1,pick5_1_zscore,pick5_2,pick5_2_zscore,pick5_3,pick5_3_zscore,pick5_4,pick5_4_zscore,pick5_5,pick5_5_zscore,pick5_sum,pick5_sum_zscore,pick5_mod2_sum
2024-03-05,19,02 49 50 61 70,14,0,2,2,-1.0483500636530472,49,2.237304111331733,50,1.208227145664904,61,1.1622548010228484,70,1.1238431451587028,232,1.3380903404386726,2
2024-03-01,18,15 33 37 55 61,24,0,4,15,0.44411371572621877,33,0.8723976954549013,37,0.1983995510364309,55,0.6849790652416028,61,0.24431372720841366,201,0.6321571303804119,5
2024-02-27,17,06 18 26 27 49,4,0,3,6,-0.5891304392286576,18,-0.4072020694296288,26,-0.6560699521107387,27,-1.5423077017375435,49,-0.928392163391972,126,-1.0757457971798965,2
2024-02-23,16,04 06 40 41 60,11,1,5,4,-0.8187402514408524,6,-1.4308818813372528,40,0.43143668825838627,41,-0.42866431824797036,60,0.1465882363250482,151,-0.5064448213264604,1
2024-02-20,15,05 45 55 58 68,7,1,2,5,-0.703935345334755,45,1.8960775073625253,55,1.596622374368163,58,0.9236169331322256,68,0.928392163391972,231,1.315318301404535,3
2024-02-16,14,19 23 39 42 67,18,0,4,19,0.9033333401506083,23,0.019331185531881245,39,0.35375764251773445,42,-0.34911836228442944,67,0.8306666725086065,190,0.38166470100489996,4
2024-02-13,13,01 03 19 25 58,20,0,3,1,-1.1631549697591446,3,-1.6868018343141589,19,-1.199823272295301,25,-1.7013996136646254,58,-0.04886274544168273,106,-1.5311865778626454,4
2024-02-09,12,17 22 29 46 69,1,1,3,17,0.6737235279384135,22,-0.06597546546042075,29,-0.4230328148887833,46,-0.03093453843026567,69,1.0261176542753374,183,0.22226042776593782,3
2024-02-06,11,02 10 31 44 57,10,0,4,2,-1.0483500636530472,10,-1.0896552773680448,31,-0.2676747234074798,44,-0.19002645035734755,57,-0.1465882363250482,144,-0.6658490945654225,2
2024-02-02,10,11 22 42 64 69,18,0,3,11,-0.015105908698170729,22,-0.06597546546042075,42,0.5867947797396899,64,1.4008926689134713,69,1.0261176542753374,208,0.791561403619374,2
2024-01-30,9,03 05 16 58 59,11,1,4,3,-0.9335451575469498,5,-1.5161885323295548,16,-1.4328604095172564,58,0.9236169331322256,59,0.04886274544168273,141,-0.7341652116678349,3
2024-01-26,8,14 31 34 50 61,13,1,3,14,0.3293088096201214,31,0.7017843934702973,34,-0.034637586185524434,50,0.2872492854238981,61,0.24431372720841366,190,0.38166470100489996,2
2024-01-23,7,21 28 58 69 70,20,0,2,21,1.132943152362803,28,0.44586444049339125,58,1.8296595115901182,69,1.798622448731176,70,1.1238431451587028,246,1.6568988869165968,2
2024-01-19,6,01 09 16 17 30,17,1,2,1,-1.1631549697591446,9,-1.1749619283603467,16,-1.4328604095172564,17,-2.337767261372953,30,-2.7851764901759157,73,-2.282663865989181,3
2024-01-16,5,02 10 42 49 54,13,1,2,2,-1.0483500636530472,10,-1.0896552773680448,42,0.5867947797396899,49,0.20770332946035716,54,-0.4397647089751446,157,-0.3698125871216357,1
2024-01-12,4,19 34 35 45 67,7,1,3,19,0.9033333401506083,34,0.9577043464472033,35,0.04304145955512735,45,-0.11048049439380661,67,0.8306666725086065,200,0.6093850913462744,4
2024-01-09,3,12 15 32 33 53,24,0,3,12,0.09969899740792665,15,-0.6631220224065347,32,-0.18999567766682798,33,-1.065031965956298,53,-0.5374901998585101,145,-0.643077055531285,3
2024-01-05,2,05 23 26 38 44,25,1,3,5,-0.703935345334755,23,0.019331185531881245,26,-0.6560699521107387,38,-0.6673021861385932,44,-1.4170196178087993,136,-0.8480254068385221,2
2024-01-02,1,03 18 27 29 64,1,1,2,3,-0.9335451575469498,18,-0.4072020694296288,27,-0.5783909063700868,29,-1.3832157898104616,64,0.5374901998585101,141,-0.7341652116678349,3
2023-12-29,104,11 27 30 62 70,10,0,3,11,-0.015105908698170729,27,0.36055778950108924,30,-0.34535376914813154,62,1.2418007569863894,70,1.1238431451587028,200,0.6093850913462744,2
2023-12-26,103,08 10 22 58 64,21,1,3,8,-0.35952062701646287,10,-1.0896552773680448,22,-0.9667861350733458,58,0.9236169331322256,64,0.5374901998585101,162,-0.2559523919509485,0
2023-12-22,102,10 26 36 54 69,4,0,4,10,-0.1299108148042681,26,0.27525113850878724,36,0.12072050529577913,54,0.6054331092780618,69,1.0261176542753374,195,0.49552489617558715,1
2023-12-19,101,17 26 50 58 61,11,1,3,17,0.6737235279384135,26,0.27525113850878724,50,1.208227145664904,58,0.9236169331322256,61,0.24431372720841366,212,0.8826495597559237,2
2023-12-15,100,10 20 28 40 54,12,0,2,10,-0.1299108148042681,20,-0.23658876744502477,28,-0.5007118606294351,40,-0.5082102742115113,54,-0.4397647089751446,152,-0.48367278229232297,0
2023-12-12,99,08 23 44 45 53,3,1,4,8,-0.35952062701646287,23,0.019331185531881245,44,0.7421528712209934,45,-0.11048049439380661,53,-0.5374901998585101,173,-0.005459962575436619,3
2023-12-08,98,21 26 53 66 70,13,1,3,21,1.132943152362803,26,0.27525113850878724,53,1.4412642828868594,66,1.559984580840553,70,1.1238431451587028,236,1.4291784965752223,2
2023-12-05,97,18 35 40 64 67,18,0,4,18,0.7885284340445109,35,1.0430109974395052,40,0.43143668825838627,64,1.4008926689134713,67,0.8306666725086065,224,1.155914028165573,2
2023-12-01,96,12 47 49 52 65,12,0,4,12,0.09969899740792665,47,2.0666908093471292,49,1.1305480999242523,52,0.44634119735098,65,0.6352156907418756,225,1.1786860671997106,3
2023-11-28,95,27 37 42 59 61,11,1,3,27,1.8217725889993872,37,1.2136242994241093,42,0.5867947797396899,59,1.0031628890957665,61,0.24431372720841366,226,1.2014581062338479,4
2023-11-24,94,06 15 45 59 68,1,1,4,6,-0.5891304392286576,15,-0.6631220224065347,45,0.8198319169616451,59,1.0031628890957665,68,0.928392163391972,193,0.4499808181073123,3
2023-11-21,93,17 22 25 30 38,24,0,4,17,0.6737235279384135,22,-0.06597546546042075,25,-0.7337489978513905,30,-1.3036698338469208,38,-2.003372563108992,132,-0.9391135629750719,2
2023-11-17,92,06 12 31 33 69,17,1,3,6,-0.5891304392286576,12,-0.9190419753834408,31,-0.2676747234074798,33,-1.065031965956298,69,1.0261176542753374,151,-0.5064448213264604,3
2023-11-14,91,29 35 59 61 69,22,0,4,29,2.051382401211582,35,1.0430109974395052,59,1.90733855733077,61,1.1622548010228484,69,1.0261176542753374,253,1.816303160155559,5
2023-11-10,90,13 33 59 68 70,8,0,3,13,0.214503903514024,33,0.8723976954549013,59,1.90733855733077,68,1.719076492767635,70,1.1238431451587028,243,1.5885827698141846,3
2023-11-07,89,03 11 33 42 52,20,0,2,3,-0.9335451575469498,11,-1.0043486263757428,33,-0.1123166319261762,42,-0.34911836228442944,52,-0.6352156907418756,141,-0.7341652116678349,3
2023-11-03,88,15 32 38 47 65,12,0,4,15,0.44411371572621877,32,0.7870910444625993,38,0.2760785967770827,47,0.04861141753327527,65,0.6352156907418756,197,0.541068974243862,3
2023-10-31,87,14 35 37 55 70,15,1,3,14,0.3293088096201214,35,1.0430109974395052,37,0.1983995510364309,55,0.6849790652416028,70,1.1238431451587028,211,0.8598775207217862,3
2023-10-27,86,11 32 43 57 70,6,0,4,11,-0.015105908698170729,32,0.7870910444625993,43,0.6644738254803416,57,0.8440709771686846,70,1.1238431451587028,213,0.9054215987900612,3
2023-10-24,85,16 20 30 54 59,7,1,3,16,0.5589186218323161,20,-0.23658876744502477,30,-0.34535376914813154,54,0.6054331092780618,59,0.04886274544168273,179,0.13117227162938805,1
2023-10-20,84,07 29 36 49 61,22,0,4,7,-0.4743255331225602,29,0.5311710914856933,36,0.12072050529577913,49,0.20770332946035716,61,0.24431372720841366,182,0.1994883887318004,4
2023-10-17,83,05 06 29 32 61,20,0,4,5,-0.703935345334755,6,-1.4308818813372528,29,-0.4230328148887833,32,-1.1445779219198389,61,0.24431372720841366,133,-0.9163415239409344,3
2023-10-13,82,06 18 44 46 68,18,0,3,6,-0.5891304392286576,18,-0.4072020694296288,44,0.7421528712209934,46,-0.03093453843026567,68,0.928392163391972,182,0.1994883887318004,0
2023-10-10,81,03 08 17 46 63,7,1,4,3,-0.9335451575469498,8,-1.2602685793526487,17,-1.3551813637766046,46,-0.03093453843026567,63,0.4397647089751446,137,-0.8252533678043846,3
2023-10-06,80,12 24 46 57 66,22,0,3,12,0.09969899740792665,24,0.10463783652418325,46,0.8975109627022969,57,0.8440709771686846,66,0.732941181625241,205,0.7232452865169616,1
2023-10-03,79,03 19 32 39 59,24,0,3,3,-0.9335451575469498,19,-0.3218954184373268,32,-0.18999567766682798,39,-0.5877562301750523,59,0.04886274544168273,152,-0.48367278229232297,4
2023-09-29,78,18 40 47 55 64,11,1,4,18,0.7885284340445109,40,1.4695442524010154,47,0.9751900084429487,55,0.6849790652416028,64,0.5374901998585101,224,1.155914028165573,2
2023-09-26,77,15 30 35 42 60,16,0,4,15,0.44411371572621877,30,0.6164777424779952,35,0.04304145955512735,42,-0.34911836228442944,60,0.1465882363250482,182,0.1994883887318004,2
2023-09-22,76,10 13 14 57 66,3,1,2,10,-0.1299108148042681,13,-0.8337353243911387,14,-1.58821850099856,57,0.8440709771686846,66,0.732941181625241,160,-0.3014964700192234,2
2023-09-19,75,06 09 13 29 66,24,0,2,6,-0.5891304392286576,9,-1.1749619283603467,13,-1.6658975467392119,29,-1.3832157898104616,66,0.732941181625241,123,-1.144061914282309,3
2023-09-15,74,05 13 29 50 53,25,1,3,5,-0.703935345334755,13,-0.8337353243911387,29,-0.4230328148887833,50,0.2872492854238981,53,-0.5374901998585101,150,-0.5292168603605979,4
2023-09-12,73,02 14 21 42 67,18,0,5,2,-1.0483500636530472,14,-0.7484286733988368,21,-1.0444651808139975,42,-0.34911836228442944,67,0.8306666725086065,146,-0.6203050164971476,2
2023-09-08,72,03 12 17 51 62,1,1,3,3,-0.9335451575469498,12,-0.9190419753834408,17,-1.3551813637766046,51,0.366795241387439,62,0.3420392180917791,145,-0.643077055531285,3
2023-09-05,71,03 43 50 51 65,13,1,2,3,-0.9335451575469498,43,1.7254642053779212,50,1.208227145664904,51,0.366795241387439,65,0.6352156907418756,212,0.8826495597559237,4
2023-09-01,70,10 31 42 43 55,8,0,2,10,-0.1299108148042681,31,0.7017843934702973,42,0.5867947797396899,43,-0.26957240632088847,55,-0.3420392180917791,181,0.17671634969766295,3
2023-08-29,69,09 39 52 61 63,25,1,3,9,-0.24471572091036548,39,1.3842376014087132,52,1.3635852371462076,61,1.1622548010228484,63,0.4397647089751446,224,1.155914028165573,4
2023-08-25,68,12 23 26 31 38,2,0,2,12,0.09969899740792665,23,0.019331185531881245,26,-0.6560699521107387,31,-1.2241238778833798,38,-2.003372563108992,130,-0.9846576410433467,2
2023-08-22,67,01 12 26 36 50,7,1,2,1,-1.1631549697591446,12,-0.9190419753834408,26,-0.6560699521107387,36,-0.8263940980656751,50,-0.8306666725086065,125,-1.098517836214034,1
2023-08-18,66,10 20 29 44 66,11,1,3,10,-0.1299108148042681,20,-0.23658876744502477,29,-0.4230328148887833,44,-0.19002645035734755,66,0.732941181625241,169,-0.0965481187119864,1
2023-08-15,65,18 39 42 57 63,7,1,3,18,0.7885284340445109,39,1.3842376014087132,42,0.5867947797396899,57,0.8440709771686846,63,0.4397647089751446,219,1.0420538329948859,3
2023-08-11,64,08 09 18 35 41,18,0,3,8,-0.35952062701646287,9,-1.1749619283603467,18,-1.2775023180359528,35,-0.905940054029216,41,-1.7101960904588955,111,-1.4173263826919582,3
2023-08-08,63,13 19 20 32 33,14,0,2,13,0.214503903514024,19,-0.3218954184373268,20,-1.1221442265546493,32,-1.1445779219198389,33,-2.4920000175258195,117,-1.2806941484871335,3
2023-08-04,62,11 30 45 52 56,20,0,2,11,-0.015105908698170729,30,0.6164777424779952,45,0.8198319169616451,52,0.44634119735098,56,-0.24431372720841366,194,0.4727528571414497,2
2023-08-01,61,08 24 30 45 61,12,0,4,8,-0.35952062701646287,24,0.10463783652418325,30,-0.34535376914813154,45,-0.11048049439380661,61,0.24431372720841366,168,-0.11932015774612384,2
2023-07-28,60,05 10 28 52 63,18,0,5,5,-0.703935345334755,10,-1.0896552773680448,28,-0.5007118606294351,52,0.44634119735098,63,0.4397647089751446,158,-0.3470405480874983,2
2023-07-25,59,03 05 06 44 61,25,1,4,3,-0.9335451575469498,5,-1.5161885323295548,6,-2.2096508669237744,44,-0.19002645035734755,61,0.24431372720841366,119,-1.2351500704188587,3
2023-07-21,58,29 40 47 50 57,25,1,2,29,2.051382401211582,40,1.4695442524010154,47,0.9751900084429487,50,0.2872492854238981,57,-0.1465882363250482,223,1.1331419891314356,3
2023-07-18,57,19 22 31 37 54,18,0,4,19,0.9033333401506083,22,-0.06597546546042075,31,-0.2676747234074798,37,-0.7468481421021341,54,-0.4397647089751446,163,-0.23318035291681108,3
2023-07-14,56,10 24 48 51 66,15,1,2,10,-0.1299108148042681,24,0.10463783652418325,48,1.0528690541836006,51,0.366795241387439,66,0.732941181625241,199,0.586613052312137,1
2023-07-11,55,10 17 33 51 64,5,1,2,10,-0.1299108148042681,17,-0.4925087204219308,33,-0.1123166319261762,51,0.366795241387439,64,0.5374901998585101,175,0.040084115492838274,3
2023-07-07,54,08 10 17 55 66,3,1,3,8,-0.35952062701646287,10,-1.0896552773680448,17,-1.3551813637766046,55,0.6849790652416028,66,0.732941181625241,156,-0.39258462615577316,2
2023-07-04,53,21 33 54 61 67,12,0,3,21,1.132943152362803,33,0.8723976954549013,54,1.5189433286275111,61,1.1622548010228484,67,0.8306666725086065,236,1.4291784965752223,4
2023-06-30,52,13 22 47 51 55,9,1,3,13,0.214503903514024,22,-0.06597546546042075,47,0.9751900084429487,51,0.366795241387439,55,-0.3420392180917791,188,0.33612062293662504,4
2023-06-27,51,08 34 35 41 52,12,0,4,8,-0.35952062701646287,34,0.9577043464472033,35,0.04304145955512735,41,-0.42866431824797036,52,-0.6352156907418756,170,-0.07377607967784895,2
2023-06-23,50,13 62 65 67 69,14,0,5,13,0.214503903514024,62,3.3462905742316593,65,2.3734128317746808,67,1.639530536804094,69,1.0261176542753374,276,2.34006005794072,4
2023-06-20,49,06 37 39 45 46,21,1,4,6,-0.5891304392286576,37,1.2136242994241093,39,0.35375764251773445,45,-0.11048049439380661,46,-1.2215686360420683,173,-0.005459962575436619,3
2023-06-16,48,04 24 34 45 57,19,1,3,4,-0.8187402514408524,24,0.10463783652418325,34,-0.034637586185524434,45,-0.11048049439380661,57,-0.1465882363250482,164,-0.21040831388267361,2
2023-06-13,47,08 10 19 44 47,4,0,4,8,-0.35952062701646287,10,-1.0896552773680448,19,-1.199823272295301,44,-0.19002645035734755,47,-1.1238431451587028,128,-1.0302017191116217,2
2023-06-09,46,03 19 53 60 68,13,1,3,3,-0.9335451575469498,19,-0.3218954184373268,53,1.4412642828868594,60,1.0827088450593074,68,0.928392163391972,203,0.6777012084486868,3
2023-06-06,45,06 12 23 29 57,4,0,2,6,-0.5891304392286576,12,-0.9190419753834408,23,-0.889107089332694,29,-1.3832157898104616,57,-0.1465882363250482,127,-1.052973758145759,3
2023-06-02,44,03 16 19 36 60,25,1,2,3,-0.9335451575469498,16,-0.5778153714142328,19,-1.199823272295301,36,-0.8263940980656751,60,0.1465882363250482,134,-0.893569484906797,2
2023-05-30,43,13 16 40 64 68,21,1,2,13,0.214503903514024,16,-0.5778153714142328,40,0.43143668825838627,64,1.4008926689134713,68,0.928392163391972,201,0.6321571303804119,1
2023-05-26,42,12 20 37 41 64,1,1,3,12,0.09969899740792665,20,-0.23658876744502477,37,0.1983995510364309,41,-0.42866431824797036,64,0.5374901998585101,174,0.017312076458700826,2
2023-05-23,41,03 10 22 65 66,19,1,2,3,-0.9335451575469498,10,-1.0896552773680448,22,-0.9667861350733458,65,1.4804386248770123,66,0.732941181625241,166,-0.16486423581439874,2
2023-05-19,40,05 11 41 44 55,14,0,2,5,-0.703935345334755,11,-1.0043486263757428,41,0.509115733999038,44,-0.19002645035734755,55,-0.3420392180917791,156,-0.39258462615577316,4
2023-05-16,39,15 34 36 69 70,17,1,3,15,0.44411371572621877,34,0.9577043464472033,36,0.12072050529577913,69,1.798622448731176,70,1.1238431451587028,224,1.155914028165573,2
2023-05-12,38,01 02 23 40 45,15,1,3,1,-1.1631549697591446,2,-1.7721084853064608,23,-0.889107089332694,40,-0.5082102742115113,45,-1.3192941269254337,111,-1.4173263826919582,3
2023-05-09,37,04 37 46 48 51,19,1,3,4,-0.8187402514408524,37,1.2136242994241093,46,0.8975109627022969,48,0.12815737349681622,51,-0.732941181625241,186,0.29057654486835016,2
2023-05-05,36,16 18 28 42 43,11,1,3,16,0.5589186218323161,18,-0.4072020694296288,28,-0.5007118606294351,42,-0.34911836228442944,43,-1.5147451086921646,147,-0.5975329774630102,1
2023-05-02,35,03 15 16 32 41,9,1,2,3,-0.9335451575469498,15,-0.6631220224065347,16,-1.4328604095172564,32,-1.1445779219198389,41,-1.7101960904588955,107,-1.508414538828508,3
2023-04-28,34,18 38 53 62 64,20,0,3,18,0.7885284340445109,38,1.2989309504164113,53,1.4412642828868594,62,1.2418007569863894,64,0.5374901998585101,235,1.406406457541085,1
2023-04-25,33,08 29 46 47 48,12,0,2,8,-0.35952062701646287,29,0.5311710914856933,46,0.8975109627022969,47,0.04861141753327527,48,-1.0261176542753374,178,0.10840023259525061,2
2023-04-21,32,03 21 29 46 63,9,1,3,3,-0.9335451575469498,21,-0.15128211645272277,29,-0.4230328148887833,46,-0.03093453843026567,63,0.4397647089751446,162,-0.2559523919509485,4
2023-04-18,31,07 09 15 19 25,4,0,2,7,-0.4743255331225602,9,-1.1749619283603467,15,-1.5105394552579083,19,-2.178675349445871,25,-3.273803944592743,75,-2.237119787920906,5
2023-04-14,30,23 27 41 48 51,22,0,2,23,1.3625529645749979,27,0.36055778950108924,41,0.509115733999038,48,0.12815737349681622,51,-0.732941181625241,190,0.38166470100489996,4
2023-04-11,29,31 35 53 54 55,24,0,3,31,2.280992213423777,35,1.0430109974395052,53,1.4412642828868594,54,0.6054331092780618,55,-0.3420392180917791,228,1.2470021843021228,4
2023-04-07,28,12 32 49 51 66,21,1,2,12,0.09969899740792665,32,0.7870910444625993,49,1.1305480999242523,51,0.366795241387439,66,0.732941181625241,210,0.8371054816876489,2
2023-04-04,27,01 37 45 62 64,4,0,3,1,-1.1631549697591446,37,1.2136242994241093,45,0.8198319169616451,62,1.2418007569863894,64,0.5374901998585101,209,0.8143334426535114,3
2023-03-31,26,16 26 27 42 61,23,1,4,16,0.5589186218323161,26,0.27525113850878724,27,-0.5783909063700868,42,-0.34911836228442944,61,0.24431372720841366,172,-0.028232001609574064,2
2023-03-28,25,02 03 18 32 68,24,0,4,2,-1.0483500636530472,3,-1.6868018343141589,18,-1.2775023180359528,32,-1.1445779219198389,68,0.928392163391972,123,-1.144061914282309,1
2023-03-24,24,14 17 33 42 66,15,1,3,14,0.3293088096201214,17,-0.4925087204219308,33,-0.1123166319261762,42,-0.34911836228442944,66,0.732941181625241,172,-0.028232001609574064,2
2023-03-21,23,01 21 25 27 40,11,1,2,1,-1.1631549697591446,21,-0.15128211645272277,25,-0.7337489978513905,27,-1.5423077017375435,40,-1.807921581342261,114,-1.349010265589546,4
2023-03-17,22,26 28 29 39 49,25,1,3,26,1.7069676828932898,28,0.44586444049339125,29,-0.4230328148887833,39,-0.5877562301750523,49,-0.928392163391972,171,-0.05100404064371151,3
2023-03-14,21,01 07 23 38 55,2,0,3,1,-1.1631549697591446,7,-1.3455752303449509,23,-0.889107089332694,38,-0.6673021861385932,55,-0.3420392180917791,124,-1.1212898752481715,4
2023-03-10,20,09 20 59 60 63,5,1,2,9,-0.24471572091036548,20,-0.23658876744502477,59,1.90733855733077,60,1.0827088450593074,63,0.4397647089751446,211,0.8598775207217862,3
2023-03-07,19,15 22 25 28 69,21,1,4,15,0.44411371572621877,22,-0.06597546546042075,25,-0.7337489978513905,28,-1.4627617457740025,69,1.0261176542753374,159,-0.32426850905336085,3
2023-03-03,18,08 25 36 39 67,11,1,4,8,-0.35952062701646287,25,0.18994448751648524,36,0.12072050529577913,39,-0.5877562301750523,67,0.8306666725086065,175,0.040084115492838274,3
2023-02-28,17,14 16 40 52 59,13,1,2,14,0.3293088096201214,16,-0.5778153714142328,40,0.43143668825838627,52,0.44634119735098,59,0.04886274544168273,181,0.17671634969766295,1
2023-02-24,16,02 22 49 65 67,7,1,4,2,-1.0483500636530472,22,-0.06597546546042075,49,1.1305480999242523,65,1.4804386248770123,67,0.8306666725086065,205,0.7232452865169616,3
2023-02-21,15,02 15 30 36 63,24,0,2,2,-1.0483500636530472,15,-0.6631220224065347,30,-0.34535376914813154,36,-0.8263940980656751,63,0.4397647089751446,146,-0.6203050164971476,2
2023-02-17,14,02 33 38 57 70,13,1,3,2,-1.0483500636530472,33,0.8723976954549013,38,0.2760785967770827,57,0.8440709771686846,70,1.1238431451587028,200,0.6093850913462744,2
2023-02-14,13,23 24 35 40 43,1,1,3,23,1.3625529645749979,24,0.10463783652418325,35,0.04304145955512735,40,-0.5082102742115113,43,-1.5147451086921646,165,-0.18763627484853618,3
2023-02-10,12,20 29 30 52 58,19,1,3,20,1.0181382462567057,29,0.5311710914856933,30,-0.34535376914813154,52,0.44634119735098,58,-0.04886274544168273,189,0.3588926619707625,1
2023-02-07,11,09 15 46 55 57,4,0,2,9,-0.24471572091036548,15,-0.6631220224065347,46,0.8975109627022969,55,0.6849790652416028,57,-0.1465882363250482,182,0.1994883887318004,4
2023-02-03,10,01 04 50 54 59,17,1,2,1,-1.1631549697591446,4,-1.6014951833218567,50,1.208227145664904,54,0.6054331092780618,59,0.04886274544168273,168,-0.11932015774612384,2
2023-01-31,9,07 09 18 29 39,13,1,4,7,-0.4743255331225602,9,-1.1749619283603467,18,-1.2775023180359528,29,-1.3832157898104616,39,-1.9056470722256265,102,-1.6222747339991952,4
2023-01-27,8,04 43 46 47 61,22,0,4,4,-0.8187402514408524,43,1.7254642053779212,46,0.8975109627022969,47,0.04861141753327527,61,0.24431372720841366,201,0.6321571303804119,3
2023-01-24,7,33 41 47 50 62,20,0,4,33,2.5106020256359716,41,1.5548509033933173,47,0.9751900084429487,50,0.2872492854238981,62,0.3420392180917791,233,1.36086237947281,3
2023-01-20,6,20 29 31 64 66,17,1,4,20,1.0181382462567057,29,0.5311710914856933,31,-0.2676747234074798,64,1.4008926689134713,66,0.732941181625241,210,0.8371054816876489,2
2023-01-17,5,02 12 18 24 39,18,0,3,2,-1.0483500636530472,12,-0.9190419753834408,18,-1.2775023180359528,24,-1.7809455696281664,39,-1.9056470722256265,95,-1.7816790072381574,1
2023-01-13,4,30 43 45 46 61,14,0,2,30,2.1661873073176796,43,1.7254642053779212,45,0.8198319169616451,46,-0.03093453843026567,61,0.24431372720841366,225,1.1786860671997106,3
2023-01-10,3,07 13 14 15 18,9,1,3,7,-0.4743255331225602,13,-0.8337353243911387,14,-1.58821850099856,15,-2.496859173300035,18,-3.9578823807763013,67,-2.4192961001940056,3
2023-01-06,2,03 20 46 59 63,13,1,3,3,-0.9335451575469498,20,-0.23658876744502477,46,0.8975109627022969,59,1.0031628890957665,63,0.4397647089751446,191,0.4044367400390374,3
2023-01-03,1,25 29 33 41 44,18,0,4,25,1.5921627767871924,29,0.5311710914856933,33,-0.1123166319261762,41,-0.42866431824797036,44,-1.4170196178087993,172,-0.028232001609574064,4
