draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5
2023-11-14,29 35 59 61 69,22,4,29,35,59,61,69
2023-11-10,13 33 59 68 70,8,3,13,33,59,68,70
2023-11-07,03 11 33 42 52,20,2,3,11,33,42,52
2023-11-03,15 32 38 47 65,12,4,15,32,38,47,65
2023-10-31,14 35 37 55 70,15,3,14,35,37,55,70
2023-10-27,11 32 43 57 70,6,4,11,32,43,57,70
2023-10-24,16 20 30 54 59,7,3,16,20,30,54,59
2023-10-20,07 29 36 49 61,22,4,7,29,36,49,61
2023-10-17,05 06 29 32 61,20,4,5,6,29,32,61
2023-10-13,06 18 44 46 68,18,3,6,18,44,46,68
2023-10-10,03 08 17 46 63,7,4,3,8,17,46,63
2023-10-06,12 24 46 57 66,22,3,12,24,46,57,66
2023-10-03,03 19 32 39 59,24,3,3,19,32,39,59
2023-09-29,18 40 47 55 64,11,4,18,40,47,55,64
2023-09-26,15 30 35 42 60,16,4,15,30,35,42,60
2023-09-22,10 13 14 57 66,3,2,10,13,14,57,66
2023-09-19,06 09 13 29 66,24,2,6,9,13,29,66
2023-09-15,05 13 29 50 53,25,3,5,13,29,50,53
2023-09-12,02 14 21 42 67,18,5,2,14,21,42,67
2023-09-08,03 12 17 51 62,1,3,3,12,17,51,62
2023-09-05,03 43 50 51 65,13,2,3,43,50,51,65
2023-09-01,10 31 42 43 55,8,2,10,31,42,43,55
2023-08-29,09 39 52 61 63,25,3,9,39,52,61,63
2023-08-25,12 23 26 31 38,2,2,12,23,26,31,38
2023-08-22,01 12 26 36 50,7,2,1,12,26,36,50
2023-08-18,10 20 29 44 66,11,3,10,20,29,44,66
2023-08-15,18 39 42 57 63,7,3,18,39,42,57,63
2023-08-11,08 09 18 35 41,18,3,8,9,18,35,41
2023-08-08,13 19 20 32 33,14,2,13,19,20,32,33
2023-08-04,11 30 45 52 56,20,2,11,30,45,52,56
2023-08-01,08 24 30 45 61,12,4,8,24,30,45,61
2023-07-28,05 10 28 52 63,18,5,5,10,28,52,63
2023-07-25,03 05 06 44 61,25,4,3,5,6,44,61
2023-07-21,29 40 47 50 57,25,2,29,40,47,50,57
2023-07-18,19 22 31 37 54,18,4,19,22,31,37,54
2023-07-14,10 24 48 51 66,15,2,10,24,48,51,66
2023-07-11,10 17 33 51 64,5,2,10,17,33,51,64
2023-07-07,08 10 17 55 66,3,3,8,10,17,55,66
2023-07-04,21 33 54 61 67,12,3,21,33,54,61,67
2023-06-30,13 22 47 51 55,9,3,13,22,47,51,55
2023-06-27,08 34 35 41 52,12,4,8,34,35,41,52
2023-06-23,13 62 65 67 69,14,5,13,62,65,67,69
2023-06-20,06 37 39 45 46,21,4,6,37,39,45,46
2023-06-16,04 24 34 45 57,19,3,4,24,34,45,57
2023-06-13,08 10 19 44 47,4,4,8,10,19,44,47
2023-06-09,03 19 53 60 68,13,3,3,19,53,60,68
2023-06-06,06 12 23 29 57,4,2,6,12,23,29,57
2023-06-02,03 16 19 36 60,25,2,3,16,19,36,60
2023-05-30,13 16 40 64 68,21,2,13,16,40,64,68
2023-05-26,12 20 37 41 64,1,3,12,20,37,41,64
2023-05-23,03 10 22 65 66,19,2,3,10,22,65,66
2023-05-19,05 11 41 44 55,14,2,5,11,41,44,55
2023-05-16,15 34 36 69 70,17,3,15,34,36,69,70
2023-05-12,01 02 23 40 45,15,3,1,2,23,40,45
2023-05-09,04 37 46 48 51,19,3,4,37,46,48,51
2023-05-05,16 18 28 42 43,11,3,16,18,28,42,43
2023-05-02,03 15 16 32 41,9,2,3,15,16,32,41
2023-04-28,18 38 53 62 64,20,3,18,38,53,62,64
2023-04-25,08 29 46 47 48,12,2,8,29,46,47,48
2023-04-21,03 21 29 46 63,9,3,3,21,29,46,63
2023-04-18,07 09 15 19 25,4,2,7,9,15,19,25
2023-04-14,23 27 41 48 51,22,2,23,27,41,48,51
2023-04-11,31 35 53 54 55,24,3,31,35,53,54,55
2023-04-07,12 32 49 51 66,21,2,12,32,49,51,66
2023-04-04,01 37 45 62 64,4,3,1,37,45,62,64
2023-03-31,16 26 27 42 61,23,4,16,26,27,42,61
2023-03-28,02 03 18 32 68,24,4,2,3,18,32,68
2023-03-24,14 17 33 42 66,15,3,14,17,33,42,66
2023-03-21,01 21 25 27 40,11,2,1,21,25,27,40
2023-03-17,26 28 29 39 49,25,3,26,28,29,39,49
2023-03-14,01 07 23 38 55,2,3,1,7,23,38,55
2023-03-10,09 20 59 60 63,5,2,9,20,59,60,63
2023-03-07,15 22 25 28 69,21,4,15,22,25,28,69
2023-03-03,08 25 36 39 67,11,4,8,25,36,39,67
2023-02-28,14 16 40 52 59,13,2,14,16,40,52,59
2023-02-24,02 22 49 65 67,7,4,2,22,49,65,67
2023-02-21,02 15 30 36 63,24,2,2,15,30,36,63
2023-02-17,02 33 38 57 70,13,3,2,33,38,57,70
2023-02-14,23 24 35 40 43,1,3,23,24,35,40,43
2023-02-10,20 29 30 52 58,19,3,20,29,30,52,58
2023-02-07,09 15 46 55 57,4,2,9,15,46,55,57
2023-02-03,01 04 50 54 59,17,2,1,4,50,54,59
2023-01-31,07 09 18 29 39,13,4,7,9,18,29,39
2023-01-27,04 43 46 47 61,22,4,4,43,46,47,61
2023-01-24,33 41 47 50 62,20,4,33,41,47,50,62
2023-01-20,20 29 31 64 66,17,4,20,29,31,64,66
2023-01-17,02 12 18 24 39,18,3,2,12,18,24,39
2023-01-13,30 43 45 46 61,14,2,30,43,45,46,61
2023-01-10,07 13 14 15 18,9,3,7,13,14,15,18
2023-01-06,03 20 46 59 63,13,3,3,20,46,59,63
2023-01-03,25 29 33 41 44,18,4,25,29,33,41,44
2022-12-30,01 03 06 44 51,7,3,1,3,6,44,51
2022-12-27,09 13 36 59 61,11,2,9,13,36,59,61
2022-12-23,15 21 32 38 62,8,4,15,21,32,38,62
2022-12-20,03 04 33 36 52,17,4,3,4,33,36,52
2022-12-16,08 35 40 53 56,11,3,8,35,40,53,56
2022-12-13,14 22 48 58 68,6,2,14,22,48,58,68
2022-12-09,08 19 53 61 69,19,4,8,19,53,61,69
2022-12-06,15 16 19 28 47,13,3,15,16,19,28,47
2022-12-02,01 21 36 46 52,16,3,1,21,36,46,52
2022-11-29,20 23 37 46 52,6,4,20,23,37,46,52
2022-11-25,29 31 46 54 67,18,2,29,31,46,54,67
2022-11-22,13 23 24 25 43,2,3,13,23,24,25,43
2022-11-18,02 14 16 38 66,9,4,2,14,16,38,66
2022-11-15,06 19 28 46 61,18,2,6,19,28,46,61
2022-11-11,01 05 17 37 70,22,3,1,5,17,37,70
2022-11-08,05 13 29 38 59,23,4,5,13,29,38,59
2022-11-04,02 20 47 55 59,19,2,2,20,47,55,59
2022-11-01,05 09 15 16 17,25,3,5,9,15,16,17
2022-10-28,04 18 31 53 69,7,2,4,18,31,53,69
2022-10-25,21 30 35 45 66,21,3,21,30,35,45,66
2022-10-21,34 36 43 45 68,22,2,34,36,43,45,68
2022-10-18,01 15 20 44 67,23,3,1,15,20,44,67
2022-10-14,09 22 26 41 44,19,2,9,22,26,41,44
2022-10-11,03 07 11 13 38,1,3,3,7,11,13,38
2022-10-07,06 11 29 36 55,21,2,6,11,29,36,55
2022-10-04,15 18 25 33 38,25,2,15,18,25,33,38
2022-09-30,16 26 37 40 51,6,4,16,26,37,40,51
2022-09-27,08 14 24 43 51,9,3,8,14,24,43,51
2022-09-23,05 50 53 58 64,22,4,5,50,53,58,64
2022-09-20,09 21 28 30 52,10,5,9,21,28,30,52
2022-09-16,15 30 35 38 66,12,4,15,30,35,38,66
2022-09-13,14 25 38 59 64,21,4,14,25,38,59,64
2022-09-09,16 21 54 55 69,22,2,16,21,54,55,69
2022-09-06,06 17 46 59 68,2,4,6,17,46,59,68
2022-09-02,39 40 52 60 67,20,2,39,40,52,60,67
2022-08-30,02 38 55 57 65,17,3,2,38,55,57,65
2022-08-26,06 27 30 38 64,23,2,6,27,30,38,64
2022-08-23,03 05 47 48 67,7,2,3,5,47,48,67
2022-08-19,12 18 24 46 65,3,4,12,18,24,46,65
2022-08-16,33 35 41 45 51,1,2,33,35,41,45,51
2022-08-12,23 24 50 54 64,3,3,23,24,50,54,64
2022-08-09,01 08 10 25 32,13,3,1,8,10,25,32
2022-08-05,02 05 29 64 69,18,3,2,5,29,64,69
2022-08-02,10 14 25 37 63,14,3,10,14,25,37,63
2022-07-29,13 36 45 57 67,14,2,13,36,45,57,67
2022-07-26,07 29 60 63 66,15,3,7,29,60,63,66
2022-07-22,14 40 60 64 66,16,3,14,40,60,64,66
2022-07-19,02 31 32 37 70,25,3,2,31,32,37,70
2022-07-15,08 20 26 53 64,15,5,8,20,26,53,64
2022-07-12,04 07 10 45 64,12,2,4,7,10,45,64
2022-07-08,20 36 61 62 69,20,3,20,36,61,62,69
2022-07-05,27 31 50 51 61,21,4,27,31,50,51,61
2022-07-01,01 27 29 38 62,12,3,1,27,29,38,62
2022-06-28,07 12 21 43 55,11,2,7,12,21,43,55
2022-06-24,01 07 11 25 56,14,2,1,7,11,25,56
2022-06-21,08 13 18 32 42,20,3,8,13,18,32,42
2022-06-17,20 36 53 56 69,16,2,20,36,53,56,69
2022-06-14,30 37 38 42 58,22,2,30,37,38,42,58
2022-06-10,03 12 14 18 32,4,5,3,12,14,18,32
2022-06-07,04 34 40 41 53,3,4,4,34,40,41,53
2022-06-03,11 16 22 48 59,11,4,11,16,22,48,59
2022-05-31,06 15 41 63 64,24,4,6,15,41,63,64
2022-05-27,03 14 40 53 54,8,3,3,14,40,53,54
2022-05-24,03 05 06 63 68,25,3,3,5,6,63,68
2022-05-20,33 40 59 60 69,22,3,33,40,59,60,69
2022-05-17,07 21 24 41 65,24,4,7,21,24,41,65
2022-05-13,11 41 43 44 65,13,3,11,41,43,44,65
2022-05-10,15 19 20 61 70,6,3,15,19,20,61,70
2022-05-06,16 21 33 52 70,10,2,16,21,33,52,70
2022-05-03,15 19 27 35 57,17,2,15,19,27,35,57
2022-04-29,09 11 34 49 66,15,2,9,11,34,49,66
2022-04-26,05 07 19 46 69,2,4,5,7,19,46,69
2022-04-22,07 28 29 58 59,10,3,7,28,29,58,59
2022-04-19,02 09 33 47 53,24,3,2,9,33,47,53
2022-04-15,04 17 20 46 64,23,4,4,17,20,46,64
2022-04-12,02 08 14 20 31,17,2,2,8,14,20,31
2022-04-08,08 11 29 32 40,2,3,8,11,29,32,40
2022-04-05,22 43 60 63 64,18,2,22,43,60,63,64
2022-04-01,26 42 47 48 63,21,5,26,42,47,48,63
2022-03-29,07 22 36 45 47,12,2,7,22,36,45,47
2022-03-25,03 13 42 51 58,17,2,3,13,42,51,58
2022-03-22,08 15 21 27 61,8,3,8,15,21,27,61
2022-03-18,02 06 25 40 45,5,4,2,6,25,40,45
2022-03-15,09 14 28 59 60,24,5,9,14,28,59,60
2022-03-11,24 28 39 44 66,25,3,24,28,39,44,66
2022-03-08,07 18 38 58 64,24,3,7,18,38,58,64
2022-03-04,11 19 28 46 47,5,4,11,19,28,46,47
2022-03-01,18 22 38 39 50,18,2,18,22,38,39,50
2022-02-25,15 31 40 56 66,4,3,15,31,40,56,66
2022-02-22,06 17 22 57 62,3,3,6,17,22,57,62
2022-02-18,06 11 50 63 68,17,4,6,11,50,63,68
2022-02-15,02 04 15 21 63,19,3,2,4,15,21,63
2022-02-11,11 16 23 24 30,24,3,11,16,23,24,30
2022-02-08,01 17 20 52 54,2,3,1,17,20,52,54
2022-02-04,07 16 34 44 61,24,4,7,16,34,44,61
2022-02-01,11 24 38 62 66,1,4,11,24,38,62,66
2022-01-28,03 16 25 44 55,13,3,3,16,25,44,55
2022-01-25,03 12 38 53 58,13,3,3,12,38,53,58
2022-01-21,38 45 46 55 67,18,2,38,45,46,55,67
2022-01-18,04 19 39 42 52,9,4,4,19,39,42,52
2022-01-14,05 08 13 22 48,25,2,5,8,13,22,48
2022-01-11,02 03 19 52 58,16,2,2,3,19,52,58
2022-01-07,07 29 43 56 57,6,3,7,29,43,56,57
2022-01-04,04 06 16 21 22,1,3,4,6,16,21,22
2021-12-31,02 05 30 46 61,8,3,2,5,30,46,61
2021-12-28,03 05 08 31 38,4,3,3,5,8,31,38
2021-12-24,16 17 25 36 37,16,2,16,17,25,36,37
2021-12-21,25 31 58 64 67,24,3,25,31,58,64,67
2021-12-17,21 32 38 48 62,10,3,21,32,38,48,62
2021-12-14,33 35 44 55 69,20,3,33,35,44,55,69
2021-12-10,23 25 40 42 60,8,2,23,25,40,42,60
2021-12-07,01 07 40 43 68,1,2,1,7,40,43,68
2021-12-03,22 45 48 58 61,13,5,22,45,48,58,61
2021-11-30,07 08 26 30 39,17,2,7,8,26,30,39
2021-11-26,07 27 37 42 59,2,2,7,27,37,42,59
2021-11-23,07 24 54 57 58,6,3,7,24,54,57,58
2021-11-19,05 23 52 53 59,18,5,5,23,52,53,59
2021-11-16,06 22 44 53 65,3,3,6,22,44,53,65
2021-11-12,30 32 42 46 48,15,2,30,32,42,46,48
2021-11-09,09 14 16 26 49,14,3,9,14,16,26,49
2021-11-05,10 15 20 66 68,18,2,10,15,20,66,68
2021-11-02,05 10 26 58 65,9,2,5,10,26,58,65
2021-10-29,15 26 28 35 45,4,3,15,26,28,35,45
2021-10-26,06 14 19 56 62,9,4,6,14,19,56,62
2021-10-22,09 14 26 29 66,22,3,9,14,26,29,66
2021-10-19,03 12 13 19 52,1,3,3,12,13,19,52
2021-10-15,03 20 31 34 65,18,3,3,20,31,34,65
2021-10-12,21 26 56 61 65,4,3,21,26,56,61,65
2021-10-08,21 24 36 40 70,22,5,21,24,36,40,70
2021-10-05,07 11 18 30 36,4,3,7,11,18,30,36
2021-10-01,21 25 36 62 63,6,2,21,25,36,62,63
2021-09-28,18 30 43 68 69,22,4,18,30,43,68,69
2021-09-24,17 21 27 43 56,15,3,17,21,27,43,56
2021-09-21,36 41 45 51 56,13,3,36,41,45,51,56
2021-09-17,17 32 40 59 61,18,3,17,32,40,59,61
2021-09-14,04 13 19 63 64,16,2,4,13,19,63,64
2021-09-10,20 32 35 47 64,18,2,20,32,35,47,64
2021-09-07,15 17 25 32 53,12,3,15,17,25,32,53
2021-09-03,07 10 12 61 65,3,2,7,10,12,61,65
2021-08-31,08 14 31 58 68,15,3,8,14,31,58,68
2021-08-27,01 10 44 47 56,23,3,1,10,44,47,56
2021-08-24,17 18 26 52 67,19,2,17,18,26,52,67
2021-08-20,41 43 51 57 70,1,2,41,43,51,57,70
2021-08-17,03 06 16 38 56,24,3,3,6,16,38,56
2021-08-13,17 21 35 40 53,11,2,17,21,35,40,53
2021-08-10,29 45 50 59 62,12,2,29,45,50,59,62
2021-08-06,09 18 40 46 69,9,2,9,18,40,46,69
2021-08-03,01 09 17 27 34,24,2,1,9,17,27,34
2021-07-30,19 26 31 52 68,10,3,19,26,31,52,68
2021-07-27,02 35 36 54 64,11,3,2,35,36,54,64
2021-07-23,13 17 19 40 69,17,3,13,17,19,40,69
2021-07-20,10 26 30 52 57,10,2,10,26,30,52,57
2021-07-16,24 25 47 52 57,24,4,24,25,47,52,57
2021-07-13,03 10 17 26 55,24,2,3,10,17,26,55
2021-07-09,06 37 39 41 46,17,2,6,37,39,41,46
2021-07-06,18 47 63 68 69,14,3,18,47,63,68,69
2021-07-02,08 31 32 34 45,19,2,8,31,32,34,45
2021-06-29,07 38 50 52 69,21,3,7,38,50,52,69
2021-06-25,17 20 42 45 65,12,4,17,20,42,45,65
2021-06-22,01 26 48 51 59,25,4,1,26,48,51,59
2021-06-18,14 36 44 46 53,18,2,14,36,44,46,53
2021-06-15,18 22 27 38 52,11,4,18,22,27,38,52
2021-06-11,04 43 56 63 68,13,4,4,43,56,63,68
2021-06-08,09 22 39 41 54,19,3,9,22,39,41,54
2021-06-04,04 30 34 41 64,8,3,4,30,34,41,64
2021-06-01,07 11 33 58 63,23,2,7,11,33,58,63
2021-05-28,10 14 20 47 70,15,2,10,14,20,47,70
2021-05-25,14 21 31 34 54,11,3,14,21,31,34,54
2021-05-21,06 09 17 18 48,8,3,6,9,17,18,48
2021-05-18,03 05 56 61 66,4,2,3,5,56,61,66
2021-05-14,03 18 41 44 68,3,2,3,18,41,44,68
2021-05-11,07 08 20 36 39,22,3,7,8,20,36,39
2021-05-07,05 10 19 21 50,10,4,5,10,19,21,50
2021-05-04,04 27 32 57 63,22,3,4,27,32,57,63
2021-04-30,08 19 26 48 49,5,3,8,19,26,48,49
2021-04-27,15 22 30 41 42,25,4,15,22,30,41,42
2021-04-23,04 28 29 30 60,25,3,4,28,29,30,60
2021-04-20,06 23 43 49 52,5,3,6,23,43,49,52
2021-04-16,17 27 28 50 55,25,4,17,27,28,50,55
2021-04-13,10 15 19 45 68,9,4,10,15,19,45,68
2021-04-09,22 26 27 58 66,12,2,22,26,27,58,66
2021-04-06,01 19 20 32 42,17,3,1,19,20,32,42
2021-04-02,10 42 48 53 62,19,2,10,42,48,53,62
2021-03-30,11 37 47 53 56,15,3,11,37,47,53,56
2021-03-26,04 25 37 46 67,15,3,4,25,37,46,67
2021-03-23,12 23 35 38 55,11,2,12,23,35,38,55
2021-03-19,09 14 40 58 69,8,3,9,14,40,58,69
2021-03-16,10 41 46 52 69,8,2,10,41,46,52,69
2021-03-12,02 24 25 31 65,18,4,2,24,25,31,65
2021-03-09,04 33 46 58 65,13,2,4,33,46,58,65
2021-03-05,10 11 17 27 54,20,2,10,11,17,27,54
2021-03-02,04 08 13 34 64,18,2,4,8,13,34,64
2021-02-26,11 15 37 62 64,5,2,11,15,37,62,64
2021-02-23,05 07 09 20 57,15,3,5,7,9,20,57
2021-02-19,27 32 47 50 53,4,4,27,32,47,50,53
2021-02-16,01 36 44 54 66,10,3,1,36,44,54,66
2021-02-12,05 14 24 25 27,14,3,5,14,24,25,27
2021-02-09,07 18 21 31 40,9,4,7,18,21,31,40
2021-02-05,14 17 28 29 44,2,4,14,17,28,29,44
2021-02-02,13 37 38 40 67,10,2,13,37,38,40,67
2021-01-29,04 44 58 59 70,3,3,4,44,58,59,70
2021-01-26,29 49 56 66 67,24,3,29,49,56,66,67
2021-01-22,04 26 42 50 60,24,2,4,26,42,50,60
2021-01-19,10 19 26 28 50,16,2,10,19,26,28,50
2021-01-15,03 11 12 38 43,15,4,3,11,12,38,43
2021-01-12,12 14 26 28 33,9,2,12,14,26,28,33
2021-01-08,03 06 16 18 58,11,2,3,6,16,18,58
2021-01-05,20 43 51 55 57,4,2,20,43,51,55,57
2021-01-01,08 24 53 68 69,7,5,8,24,53,68,69
2020-12-29,01 31 35 48 62,19,3,1,31,35,48,62
2020-12-25,17 23 36 69 70,19,2,17,23,36,69,70
2020-12-22,29 53 56 59 67,21,2,29,53,56,59,67
2020-12-18,07 15 25 51 60,5,3,7,15,25,51,60
2020-12-15,01 10 18 20 46,15,2,1,10,18,20,46
2020-12-11,19 31 37 55 67,25,4,19,31,37,55,67
2020-12-08,15 19 33 39 68,25,3,15,19,33,39,68
2020-12-04,03 19 24 44 50,8,3,3,19,24,44,50
2020-12-01,07 33 53 61 65,14,2,7,33,53,61,65
2020-11-27,04 10 27 35 58,10,2,4,10,27,35,58
2020-11-24,09 15 34 61 64,6,2,9,15,34,61,64
2020-11-20,26 33 45 61 68,17,3,26,33,45,61,68
2020-11-17,08 13 35 46 68,16,3,8,13,35,46,68
2020-11-13,06 07 14 28 59,7,2,6,7,14,28,59
2020-11-10,23 45 53 58 62,13,5,23,45,53,58,62
2020-11-06,18 24 27 34 60,2,2,18,24,27,34,60
2020-11-03,07 31 44 45 55,19,3,7,31,44,45,55
2020-10-30,14 19 34 39 59,11,2,14,19,34,39,59
2020-10-27,06 13 34 46 62,1,3,6,13,34,46,62
2020-10-23,18 34 44 60 69,22,2,18,34,44,60,69
2020-10-20,46 54 57 58 66,10,3,46,54,57,58,66
2020-10-16,27 32 50 52 57,12,5,27,32,50,52,57
2020-10-13,11 44 45 46 70,25,2,11,44,45,46,70
2020-10-09,05 11 25 27 64,13,2,5,11,25,27,64
2020-10-06,15 16 18 39 59,17,3,15,16,18,39,59
2020-10-02,09 38 47 49 68,25,2,9,38,47,49,68
2020-09-29,14 39 43 44 67,19,3,14,39,43,44,67
2020-09-25,20 36 37 48 67,16,2,20,36,37,48,67
2020-09-22,36 43 44 55 68,12,4,36,43,44,55,68
2020-09-18,26 29 41 52 64,11,3,26,29,41,52,64
2020-09-15,25 28 38 59 62,22,4,25,28,38,59,62
2020-09-11,03 15 42 48 56,13,2,3,15,42,48,56
2020-09-08,07 10 15 31 57,21,2,7,10,15,31,57
2020-09-04,19 22 24 28 53,25,3,19,22,24,28,53
2020-09-01,15 25 26 38 47,22,4,15,25,26,38,47
2020-08-28,03 09 50 53 64,1,3,3,9,50,53,64
2020-08-25,08 10 15 17 57,12,3,8,10,15,17,57
2020-08-21,11 15 31 42 63,14,2,11,15,31,42,63
2020-08-18,04 18 26 27 58,23,4,4,18,26,27,58
2020-08-14,03 24 29 42 47,13,2,3,24,29,42,47
2020-08-11,08 22 29 43 56,9,4,8,22,29,43,56
2020-08-07,04 44 53 64 70,3,2,4,44,53,64,70
2020-08-04,02 22 30 42 62,20,3,2,22,30,42,62
2020-07-31,12 35 46 48 69,23,2,12,35,46,48,69
2020-07-28,17 20 27 31 34,19,4,17,20,27,31,34
2020-07-24,08 33 39 54 58,17,3,8,33,39,54,58
2020-07-21,14 25 26 41 43,15,3,14,25,26,41,43
2020-07-17,12 13 21 46 57,21,3,12,13,21,46,57
2020-07-14,06 26 55 56 64,22,4,6,26,55,56,64
2020-07-10,10 15 20 49 53,22,5,10,15,20,49,53
2020-07-07,16 20 25 30 43,18,3,16,20,25,30,43
2020-07-03,20 40 44 45 50,24,2,20,40,44,45,50
2020-06-30,09 16 29 37 53,11,2,9,16,29,37,53
2020-06-26,19 33 37 56 57,6,2,19,33,37,56,57
2020-06-23,06 20 37 40 48,15,3,6,20,37,40,48
2020-06-19,11 34 36 52 66,7,2,11,34,36,52,66
2020-06-16,21 23 33 35 42,6,3,21,23,33,35,42
2020-06-12,09 14 57 67 70,2,3,9,14,57,67,70
2020-06-09,01 05 09 10 23,22,2,1,5,9,10,23
2020-06-05,32 35 37 47 55,22,3,32,35,37,47,55
2020-06-02,09 20 23 26 29,8,3,9,20,23,26,29
2020-05-29,10 13 32 41 51,3,2,10,13,32,41,51
2020-05-26,34 52 58 59 62,4,3,34,52,58,59,62
2020-05-22,08 10 20 44 46,18,4,8,10,20,44,46
2020-05-19,08 19 25 36 66,9,2,8,19,25,36,66
2020-05-15,11 17 32 33 46,25,3,11,17,32,33,46
2020-05-12,07 16 27 44 52,5,5,7,16,27,44,52
2020-05-08,05 20 22 61 70,4,2,5,20,22,61,70
2020-05-05,07 13 17 21 45,14,2,7,13,17,21,45
2020-05-01,28 30 31 35 66,14,2,28,30,31,35,66
2020-04-28,13 19 53 54 63,17,3,13,19,53,54,63
2020-04-24,01 27 32 60 67,18,2,1,27,32,60,67
2020-04-21,13 15 24 67 70,17,2,13,15,24,67,70
2020-04-17,13 35 39 46 55,14,4,13,35,39,46,55
2020-04-14,29 47 65 69 70,7,4,29,47,65,69,70
2020-04-10,02 11 21 57 60,13,2,2,11,21,57,60
2020-04-07,25 33 43 51 68,20,2,25,33,43,51,68
2020-04-03,24 38 44 57 58,17,4,24,38,44,57,58
2020-03-31,08 17 51 57 70,2,4,8,17,51,57,70
2020-03-27,03 25 28 50 60,1,4,3,25,28,50,60
2020-03-24,02 08 16 18 31,14,2,2,8,16,18,31
2020-03-20,34 35 41 45 54,5,4,34,35,41,45,54
2020-03-17,20 27 28 58 59,25,3,20,27,28,58,59
2020-03-13,07 22 37 43 44,22,4,7,22,37,43,44
2020-03-10,06 17 48 54 69,12,5,6,17,48,54,69
2020-03-06,15 48 56 58 70,4,4,15,48,56,58,70
2020-03-03,08 12 33 56 64,2,2,8,12,33,56,64
2020-02-28,02 03 14 41 64,17,2,2,3,14,41,64
2020-02-25,02 09 43 49 63,15,2,2,9,43,49,63
2020-02-21,04 07 13 16 60,6,4,4,7,13,16,60
2020-02-18,06 12 39 61 70,4,3,6,12,39,61,70
2020-02-14,10 32 48 54 55,18,5,10,32,48,54,55
2020-02-11,04 06 32 52 64,6,2,4,6,32,52,64
2020-02-07,09 14 27 36 52,4,3,9,14,27,36,52
2020-02-04,32 48 50 51 64,10,2,32,48,50,51,64
