draw_date,variable,value
11/21/2023,pick5_1,17
11/21/2023,pick5_2,22
11/21/2023,pick5_3,25
11/21/2023,pick5_4,30
11/21/2023,pick5_5,38
11/21/2023,winning_numbers,17 22 25 30 38
11/17/2023,mega_ball,17
11/17/2023,multiplier,3.0
11/17/2023,pick5_1,6
11/17/2023,pick5_2,12
11/17/2023,pick5_3,31
11/17/2023,pick5_4,33
11/17/2023,pick5_5,69
11/17/2023,winning_numbers,06 12 31 33 69
11/14/2023,mega_ball,22
11/14/2023,multiplier,4.0
11/14/2023,pick5_1,29
11/14/2023,pick5_2,35
11/14/2023,pick5_3,59
11/14/2023,pick5_4,61
11/14/2023,pick5_5,69
11/14/2023,winning_numbers,29 35 59 61 69
11/10/2023,mega_ball,8
11/10/2023,multiplier,3.0
11/10/2023,pick5_1,13
11/10/2023,pick5_2,33
11/10/2023,pick5_3,59
11/10/2023,pick5_4,68
11/10/2023,pick5_5,70
11/10/2023,winning_numbers,13 33 59 68 70
11/07/2023,mega_ball,20
11/07/2023,multiplier,2.0
11/07/2023,pick5_1,3
11/07/2023,pick5_2,11
11/07/2023,pick5_3,33
11/07/2023,pick5_4,42
11/07/2023,pick5_5,52
11/07/2023,winning_numbers,03 11 33 42 52
11/03/2023,mega_ball,12
11/03/2023,multiplier,4.0
11/03/2023,pick5_1,15
11/03/2023,pick5_2,32
11/03/2023,pick5_3,38
11/03/2023,pick5_4,47
11/03/2023,pick5_5,65
11/03/2023,winning_numbers,15 32 38 47 65
10/31/2023,mega_ball,15
10/31/2023,multiplier,3.0
10/31/2023,pick5_1,14
10/31/2023,pick5_2,35
10/31/2023,pick5_3,37
10/31/2023,pick5_4,55
10/31/2023,pick5_5,70
10/31/2023,winning_numbers,14 35 37 55 70
10/27/2023,mega_ball,6
10/27/2023,multiplier,4.0
10/27/2023,pick5_1,11
10/27/2023,pick5_2,32
10/27/2023,pick5_3,43
10/27/2023,pick5_4,57
10/27/2023,pick5_5,70
10/27/2023,winning_numbers,11 32 43 57 70
10/24/2023,mega_ball,7
10/24/2023,multiplier,3.0
10/24/2023,pick5_1,16
10/24/2023,pick5_2,20
10/24/2023,pick5_3,30
10/24/2023,pick5_4,54
10/24/2023,pick5_5,59
10/24/2023,winning_numbers,16 20 30 54 59
10/20/2023,mega_ball,22
10/20/2023,multiplier,4.0
10/20/2023,pick5_1,7
10/20/2023,pick5_2,29
10/20/2023,pick5_3,36
10/20/2023,pick5_4,49
10/20/2023,pick5_5,61
10/20/2023,winning_numbers,07 29 36 49 61
10/17/2023,mega_ball,20
10/17/2023,multiplier,4.0
10/17/2023,pick5_1,5
10/17/2023,pick5_2,6
10/17/2023,pick5_3,29
10/17/2023,pick5_4,32
10/17/2023,pick5_5,61
10/17/2023,winning_numbers,05 06 29 32 61
10/13/2023,mega_ball,18
10/13/2023,multiplier,3.0
10/13/2023,pick5_1,6
10/13/2023,pick5_2,18
10/13/2023,pick5_3,44
10/13/2023,pick5_4,46
10/13/2023,pick5_5,68
10/13/2023,winning_numbers,06 18 44 46 68
10/10/2023,mega_ball,7
10/10/2023,multiplier,4.0
10/10/2023,pick5_1,3
10/10/2023,pick5_2,8
10/10/2023,pick5_3,17
10/10/2023,pick5_4,46
10/10/2023,pick5_5,63
10/10/2023,winning_numbers,03 08 17 46 63
10/06/2023,mega_ball,22
10/06/2023,multiplier,3.0
10/06/2023,pick5_1,12
10/06/2023,pick5_2,24
10/06/2023,pick5_3,46
10/06/2023,pick5_4,57
10/06/2023,pick5_5,66
10/06/2023,winning_numbers,12 24 46 57 66
10/03/2023,mega_ball,24
10/03/2023,multiplier,3.0
10/03/2023,pick5_1,3
10/03/2023,pick5_2,19
10/03/2023,pick5_3,32
10/03/2023,pick5_4,39
10/03/2023,pick5_5,59
10/03/2023,winning_numbers,03 19 32 39 59
09/29/2023,mega_ball,11
09/29/2023,multiplier,4.0
09/29/2023,pick5_1,18
09/29/2023,pick5_2,40
09/29/2023,pick5_3,47
09/29/2023,pick5_4,55
09/29/2023,pick5_5,64
09/29/2023,winning_numbers,18 40 47 55 64
09/26/2023,mega_ball,16
09/26/2023,multiplier,4.0
09/26/2023,pick5_1,15
09/26/2023,pick5_2,30
09/26/2023,pick5_3,35
09/26/2023,pick5_4,42
09/26/2023,pick5_5,60
09/26/2023,winning_numbers,15 30 35 42 60
09/22/2023,mega_ball,3
09/22/2023,multiplier,2.0
09/22/2023,pick5_1,10
09/22/2023,pick5_2,13
09/22/2023,pick5_3,14
09/22/2023,pick5_4,57
09/22/2023,pick5_5,66
09/22/2023,winning_numbers,10 13 14 57 66
09/19/2023,mega_ball,24
09/19/2023,multiplier,2.0
09/19/2023,pick5_1,6
09/19/2023,pick5_2,9
09/19/2023,pick5_3,13
09/19/2023,pick5_4,29
09/19/2023,pick5_5,66
09/19/2023,winning_numbers,06 09 13 29 66
09/15/2023,mega_ball,25
09/15/2023,multiplier,3.0
09/15/2023,pick5_1,5
09/15/2023,pick5_2,13
09/15/2023,pick5_3,29
09/15/2023,pick5_4,50
09/15/2023,pick5_5,53
09/15/2023,winning_numbers,05 13 29 50 53
09/12/2023,mega_ball,18
09/12/2023,multiplier,5.0
09/12/2023,pick5_1,2
09/12/2023,pick5_2,14
09/12/2023,pick5_3,21
09/12/2023,pick5_4,42
09/12/2023,pick5_5,67
09/12/2023,winning_numbers,02 14 21 42 67
09/08/2023,mega_ball,1
09/08/2023,multiplier,3.0
09/08/2023,pick5_1,3
09/08/2023,pick5_2,12
09/08/2023,pick5_3,17
09/08/2023,pick5_4,51
09/08/2023,pick5_5,62
09/08/2023,winning_numbers,03 12 17 51 62
09/05/2023,mega_ball,13
09/05/2023,multiplier,2.0
09/05/2023,pick5_1,3
09/05/2023,pick5_2,43
09/05/2023,pick5_3,50
09/05/2023,pick5_4,51
09/05/2023,pick5_5,65
09/05/2023,winning_numbers,03 43 50 51 65
09/01/2023,mega_ball,8
09/01/2023,multiplier,2.0
09/01/2023,pick5_1,10
09/01/2023,pick5_2,31
09/01/2023,pick5_3,42
09/01/2023,pick5_4,43
09/01/2023,pick5_5,55
09/01/2023,winning_numbers,10 31 42 43 55
08/29/2023,mega_ball,25
08/29/2023,multiplier,3.0
08/29/2023,pick5_1,9
08/29/2023,pick5_2,39
08/29/2023,pick5_3,52
08/29/2023,pick5_4,61
08/29/2023,pick5_5,63
08/29/2023,winning_numbers,09 39 52 61 63
08/25/2023,mega_ball,2
08/25/2023,multiplier,2.0
08/25/2023,pick5_1,12
08/25/2023,pick5_2,23
08/25/2023,pick5_3,26
08/25/2023,pick5_4,31
08/25/2023,pick5_5,38
08/25/2023,winning_numbers,12 23 26 31 38
08/22/2023,mega_ball,7
08/22/2023,multiplier,2.0
08/22/2023,pick5_1,1
08/22/2023,pick5_2,12
08/22/2023,pick5_3,26
08/22/2023,pick5_4,36
08/22/2023,pick5_5,50
08/22/2023,winning_numbers,01 12 26 36 50
08/18/2023,mega_ball,11
08/18/2023,multiplier,3.0
08/18/2023,pick5_1,10
08/18/2023,pick5_2,20
08/18/2023,pick5_3,29
08/18/2023,pick5_4,44
08/18/2023,pick5_5,66
08/18/2023,winning_numbers,10 20 29 44 66
08/15/2023,mega_ball,7
08/15/2023,multiplier,3.0
08/15/2023,pick5_1,18
08/15/2023,pick5_2,39
08/15/2023,pick5_3,42
08/15/2023,pick5_4,57
08/15/2023,pick5_5,63
08/15/2023,winning_numbers,18 39 42 57 63
08/11/2023,mega_ball,18
08/11/2023,multiplier,3.0
08/11/2023,pick5_1,8
08/11/2023,pick5_2,9
08/11/2023,pick5_3,18
08/11/2023,pick5_4,35
08/11/2023,pick5_5,41
08/11/2023,winning_numbers,08 09 18 35 41
08/08/2023,mega_ball,14
08/08/2023,multiplier,2.0
08/08/2023,pick5_1,13
08/08/2023,pick5_2,19
08/08/2023,pick5_3,20
08/08/2023,pick5_4,32
08/08/2023,pick5_5,33
08/08/2023,winning_numbers,13 19 20 32 33
08/04/2023,mega_ball,20
08/04/2023,multiplier,2.0
08/04/2023,pick5_1,11
08/04/2023,pick5_2,30
08/04/2023,pick5_3,45
08/04/2023,pick5_4,52
08/04/2023,pick5_5,56
08/04/2023,winning_numbers,11 30 45 52 56
08/01/2023,mega_ball,12
08/01/2023,multiplier,4.0
08/01/2023,pick5_1,8
08/01/2023,pick5_2,24
08/01/2023,pick5_3,30
08/01/2023,pick5_4,45
08/01/2023,pick5_5,61
08/01/2023,winning_numbers,08 24 30 45 61
07/28/2023,mega_ball,18
07/28/2023,multiplier,5.0
07/28/2023,pick5_1,5
07/28/2023,pick5_2,10
07/28/2023,pick5_3,28
07/28/2023,pick5_4,52
07/28/2023,pick5_5,63
07/28/2023,winning_numbers,05 10 28 52 63
07/25/2023,mega_ball,25
07/25/2023,multiplier,4.0
07/25/2023,pick5_1,3
07/25/2023,pick5_2,5
07/25/2023,pick5_3,6
07/25/2023,pick5_4,44
07/25/2023,pick5_5,61
07/25/2023,winning_numbers,03 05 06 44 61
07/21/2023,mega_ball,25
07/21/2023,multiplier,2.0
07/21/2023,pick5_1,29
07/21/2023,pick5_2,40
07/21/2023,pick5_3,47
07/21/2023,pick5_4,50
07/21/2023,pick5_5,57
07/21/2023,winning_numbers,29 40 47 50 57
07/18/2023,mega_ball,18
07/18/2023,multiplier,4.0
07/18/2023,pick5_1,19
07/18/2023,pick5_2,22
07/18/2023,pick5_3,31
07/18/2023,pick5_4,37
07/18/2023,pick5_5,54
07/18/2023,winning_numbers,19 22 31 37 54
07/14/2023,mega_ball,15
07/14/2023,multiplier,2.0
07/14/2023,pick5_1,10
07/14/2023,pick5_2,24
07/14/2023,pick5_3,48
07/14/2023,pick5_4,51
07/14/2023,pick5_5,66
07/14/2023,winning_numbers,10 24 48 51 66
07/11/2023,mega_ball,5
07/11/2023,multiplier,2.0
07/11/2023,pick5_1,10
07/11/2023,pick5_2,17
07/11/2023,pick5_3,33
07/11/2023,pick5_4,51
07/11/2023,pick5_5,64
07/11/2023,winning_numbers,10 17 33 51 64
07/07/2023,mega_ball,3
07/07/2023,multiplier,3.0
07/07/2023,pick5_1,8
07/07/2023,pick5_2,10
07/07/2023,pick5_3,17
07/07/2023,pick5_4,55
07/07/2023,pick5_5,66
07/07/2023,winning_numbers,08 10 17 55 66
07/04/2023,mega_ball,12
07/04/2023,multiplier,3.0
07/04/2023,pick5_1,21
07/04/2023,pick5_2,33
07/04/2023,pick5_3,54
07/04/2023,pick5_4,61
07/04/2023,pick5_5,67
07/04/2023,winning_numbers,21 33 54 61 67
06/30/2023,mega_ball,9
06/30/2023,multiplier,3.0
06/30/2023,pick5_1,13
06/30/2023,pick5_2,22
06/30/2023,pick5_3,47
06/30/2023,pick5_4,51
06/30/2023,pick5_5,55
06/30/2023,winning_numbers,13 22 47 51 55
06/27/2023,mega_ball,12
06/27/2023,multiplier,4.0
06/27/2023,pick5_1,8
06/27/2023,pick5_2,34
06/27/2023,pick5_3,35
06/27/2023,pick5_4,41
06/27/2023,pick5_5,52
06/27/2023,winning_numbers,08 34 35 41 52
06/23/2023,mega_ball,14
06/23/2023,multiplier,5.0
06/23/2023,pick5_1,13
06/23/2023,pick5_2,62
06/23/2023,pick5_3,65
06/23/2023,pick5_4,67
06/23/2023,pick5_5,69
06/23/2023,winning_numbers,13 62 65 67 69
06/20/2023,mega_ball,21
06/20/2023,multiplier,4.0
06/20/2023,pick5_1,6
06/20/2023,pick5_2,37
06/20/2023,pick5_3,39
06/20/2023,pick5_4,45
06/20/2023,pick5_5,46
06/20/2023,winning_numbers,06 37 39 45 46
06/16/2023,mega_ball,19
06/16/2023,multiplier,3.0
06/16/2023,pick5_1,4
06/16/2023,pick5_2,24
06/16/2023,pick5_3,34
06/16/2023,pick5_4,45
06/16/2023,pick5_5,57
06/16/2023,winning_numbers,04 24 34 45 57
06/13/2023,mega_ball,4
06/13/2023,multiplier,4.0
06/13/2023,pick5_1,8
06/13/2023,pick5_2,10
06/13/2023,pick5_3,19
06/13/2023,pick5_4,44
06/13/2023,pick5_5,47
06/13/2023,winning_numbers,08 10 19 44 47
06/09/2023,mega_ball,13
06/09/2023,multiplier,3.0
06/09/2023,pick5_1,3
06/09/2023,pick5_2,19
06/09/2023,pick5_3,53
06/09/2023,pick5_4,60
06/09/2023,pick5_5,68
06/09/2023,winning_numbers,03 19 53 60 68
06/06/2023,mega_ball,4
06/06/2023,multiplier,2.0
06/06/2023,pick5_1,6
06/06/2023,pick5_2,12
06/06/2023,pick5_3,23
06/06/2023,pick5_4,29
06/06/2023,pick5_5,57
06/06/2023,winning_numbers,06 12 23 29 57
06/02/2023,mega_ball,25
06/02/2023,multiplier,2.0
06/02/2023,pick5_1,3
06/02/2023,pick5_2,16
06/02/2023,pick5_3,19
06/02/2023,pick5_4,36
06/02/2023,pick5_5,60
06/02/2023,winning_numbers,03 16 19 36 60
05/30/2023,mega_ball,21
05/30/2023,multiplier,2.0
05/30/2023,pick5_1,13
05/30/2023,pick5_2,16
05/30/2023,pick5_3,40
05/30/2023,pick5_4,64
05/30/2023,pick5_5,68
05/30/2023,winning_numbers,13 16 40 64 68
05/26/2023,mega_ball,1
05/26/2023,multiplier,3.0
05/26/2023,pick5_1,12
05/26/2023,pick5_2,20
05/26/2023,pick5_3,37
05/26/2023,pick5_4,41
05/26/2023,pick5_5,64
05/26/2023,winning_numbers,12 20 37 41 64
05/23/2023,mega_ball,19
05/23/2023,multiplier,2.0
05/23/2023,pick5_1,3
05/23/2023,pick5_2,10
05/23/2023,pick5_3,22
05/23/2023,pick5_4,65
05/23/2023,pick5_5,66
05/23/2023,winning_numbers,03 10 22 65 66
05/19/2023,mega_ball,14
05/19/2023,multiplier,2.0
05/19/2023,pick5_1,5
05/19/2023,pick5_2,11
05/19/2023,pick5_3,41
05/19/2023,pick5_4,44
05/19/2023,pick5_5,55
05/19/2023,winning_numbers,05 11 41 44 55
05/16/2023,mega_ball,17
05/16/2023,multiplier,3.0
05/16/2023,pick5_1,15
05/16/2023,pick5_2,34
05/16/2023,pick5_3,36
05/16/2023,pick5_4,69
05/16/2023,pick5_5,70
05/16/2023,winning_numbers,15 34 36 69 70
05/12/2023,mega_ball,15
05/12/2023,multiplier,3.0
05/12/2023,pick5_1,1
05/12/2023,pick5_2,2
05/12/2023,pick5_3,23
05/12/2023,pick5_4,40
05/12/2023,pick5_5,45
05/12/2023,winning_numbers,01 02 23 40 45
05/09/2023,mega_ball,19
05/09/2023,multiplier,3.0
05/09/2023,pick5_1,4
05/09/2023,pick5_2,37
