order_date,product,category,region,units,unit_price,customer_id,sales_rep,revenue
2023-07-09,Monitor,Electronics,East,4.0,281.74,1072,Bob,1126.96
2023-06-24,Mouse,Accessories,South,6.0,28.4,1058,Emma,170.4
2023-02-20,Webcam,Accessories,West,6.0,68.4,1001,Diego,410.4
2023-12-30,Headset,Accessories,SOUTH,5.0,82.43,1064,Alice,412.15
2023-02-24,Chair,Furniture,West,5.0,137.32,1059,Alice,686.6
2023-09-01,Keyboard,Accessories,North,4.0,49.02,1050,Carla,196.08
2023-11-16,Laptop,Electronics,West,1.0,846.38,1029,Carla,846.38
2023-05-11,Mouse,Accessories,East,6.0,25.48,1010,Carla,152.88
2023-11-03,Monitor,Electronics,East,1.0,269.9,1091,Bob,269.9
2023-05-15,Keyboard,Accessories,West,1.0,43.28,1075,Diego,43.28
2023-01-21,Keyboard,Accessories,East,4.0,47.71,1038,Diego,190.84
2023-11-25,Laptop,Electronics,East,1.0,959.99,1089,Diego,959.99
2023-06-16,Chair,Furniture,North,6.0,112.88,1076,Diego,677.28
2023-10-01,Chair,Furniture,North,3.0,124.95,1071,Carla,374.85
2023-03-30,Webcam,Accessories,West,5.0,65.57,1062,Alice,327.85
2023-11-12,Monitor,Electronics,East,3.0,256.18,1063,Carla,768.54
2023-01-14,Chair,Furniture,East,1.0,108.36,1060,Diego,108.36
2023-08-30,Headset,Accessories,South,3.0,72.18,1053,Carla,216.54
2023-09-22,Chair,Furniture,North,6.0,118.71,1091,Diego,712.26
2023-12-12,Keyboard,Accessories,North,6.0,50.92,1093,Emma,305.52
2023-02-22,Laptop,Electronics,East,1.0,861.45,1072,Alice,861.45
2023-12-06,Headset,Accessories,South,4.0,84.69,1094,Emma,338.76
2023-04-02,Webcam,Accessories,North,3.0,57.33,1057,Bob,171.99
2023-09-21,Monitor,Electronics,South,4.0,245.1,1084,Carla,980.4
2023-02-04,Webcam,Accessories,North,4.0,66.72,1055,Bob,266.88
2023-07-25,Keyboard,Accessories,East,2.0,48.7,1033,Carla,97.4
2023-03-22,Headset,Accessories,North,,73.91,1030,Emma,73.91
2023-02-19,Headset,Accessories,East,5.0,80.57,1051,Diego,402.85
2023-12-26,Headset,Accessories,,6.0,72.58,1088,Diego,435.48
2023-01-02,Keyboard,Accessories,South,6.0,45.91,1075,Carla,275.46
2023-02-23,Keyboard,Accessories,North,1.0,47.95,1000,Diego,47.95
2023-04-16,Webcam,Accessories,North,7.0,55.78,1054,Emma,390.46
2023-09-17,Mouse,Accessories,South,7.0,24.31,1021,Diego,170.17
2023-11-06,Webcam,Accessories,South,7.0,59.97,1039,Emma,419.79
2023-07-10,Monitor,Electronics,East,5.0,282.47,1000,Bob,1412.35
2023-08-06,Laptop,Electronics,North,6.0,1033.48,1064,Emma,6200.88
2023-02-13,Headset,Accessories,East,1.0,72.9,1062,Alice,72.9
2023-06-11,Mouse,Accessories,WEST,6.0,27.26,1053,Alice,163.56
2023-07-21,Laptop,Electronics,East,4.0,893.64,1041,Alice,3574.56
2023-09-27,Mouse,Accessories,North,3.0,24.95,1020,Carla,74.85
2023-12-17,Chair,Furniture,South,3.0,130.63,1078,Carla,391.89
2023-10-31,Chair,Furniture,North,6.0,135.55,1080,Carla,813.3
2023-09-28,Desk,Furniture,North,2.0,204.79,1021,Emma,409.58
2023-08-03,Chair,Furniture,West,5.0,125.31,1037,Carla,626.55
2023-09-09,Webcam,Accessories,North,7.0,59.36,1098,Bob,415.52
2023-07-09,Chair,Furniture,South,5.0,131.63,1079,Alice,658.15
2023-10-23,Keyboard,Accessories,East,5.0,43.32,1007,Emma,216.6
2023-08-01,Headset,Accessories,East,4.0,83.28,1061,Alice,333.12
2023-07-27,Webcam,Accessories,East,5.0,59.38,1046,Carla,296.9
2023-08-25,Laptop,Electronics,North,3.0,957.74,1016,Emma,2873.22
2023-12-04,Desk,Furniture,South,4.0,172.82,1016,Diego,691.28
2023-02-22,Desk,Furniture,,1.0,170.62,1089,Bob,170.62
2023-10-07,Desk,Furniture,North,5.0,203.32,1012,Carla,1016.6
2023-08-05,Laptop,Electronics,South,5.0,832.91,1016,Carla,4164.55
2023-09-09,Laptop,Electronics,North,1.0,923.84,1037,Bob,923.84
2023-07-07,Laptop,Electronics,North,5.0,859.69,1080,Bob,4298.45
2023-02-10,Laptop,Electronics,South,1.0,818.76,1077,Diego,818.76
2023-06-06,Desk,Furniture,North,4.0,163.62,1044,Carla,654.48
2023-01-15,Desk,Furniture,East,3.0,169.88,1005,Carla,509.64
2023-10-28,Mouse,Accessories,East,1.0,27.92,1034,Alice,27.92
2023-03-06,Webcam,Accessories,West,2.0,58.24,1013,Emma,116.48
2023-12-11,Headset,Accessories,North,1.0,91.01,1071,Emma,91.01
2023-11-23,Chair,Furniture,North,5.0,125.45,1060,Alice,627.25
2023-01-09,Chair,Furniture,North,7.0,121.1,1014,Emma,847.7
2023-12-10,Keyboard,Accessories,East,7.0,47.03,1053,Bob,329.21
2023-05-09,Desk,Furniture,East,4.0,185.25,1026,Emma,741.0
2023-05-16,Keyboard,Accessories,North,6.0,49.04,1012,Emma,294.24
2023-03-04,Webcam,Accessories,West,4.0,58.24,1030,Alice,232.96
2023-05-19,Webcam,Accessories,North,6.0,59.3,1034,Diego,355.8
2023-03-22,Keyboard,Accessories,South,7.0,50.56,1059,Emma,353.92
2023-06-12,Desk,Furniture,East,7.0,204.59,1005,Emma,1432.13
2023-10-16,Keyboard,Accessories,West,1.0,50.54,1068,Diego,50.54
2023-09-18,Chair,Furniture,East,3.0,120.58,1085,Alice,361.74
2023-08-19,Mouse,Accessories,West,2.0,27.38,1057,Diego,54.76
2023-02-10,Chair,Furniture,South,4.0,122.29,1048,Alice,489.16
2023-01-28,Monitor,Electronics,West,5.0,256.1,1022,Bob,1280.5
2023-05-15,Desk,Furniture,North,6.0,171.21,1088,Alice,1027.26
2023-07-20,Desk,Furniture,West,5.0,188.6,1033,Bob,943.0
2023-11-24,Headset,Accessories,,3.0,75.72,1025,Bob,227.16
2023-09-25,Laptop,Electronics,West,6.0,884.6,1046,Alice,5307.6
2023-02-02,Monitor,Electronics,South,4.0,278.44,1004,Carla,1113.76
2023-02-17,Webcam,Accessories,East,1.0,57.11,1089,Alice,57.11
2023-03-03,Desk,Furniture,South,5.0,165.2,1019,Emma,826.0
2023-08-04,Keyboard,Accessories,East,3.0,41.28,1005,Emma,123.84
2023-10-20,Monitor,Electronics,North,4.0,283.8,1069,Carla,1135.2
2023-04-09,Headset,Accessories,North,7.0,82.14,1058,Bob,574.98
2023-06-21,Webcam,Accessories,,7.0,60.14,1063,Carla,420.98
2023-12-26,Laptop,Electronics,North,4.0,992.45,1017,Emma,3969.8
2023-08-02,Laptop,Electronics,West,4.0,998.06,1003,Carla,3992.24
2023-02-04,Headset,Accessories,North,4.0,78.64,1016,Alice,314.56
2023-08-15,Headset,Accessories,West,6.0,85.87,1013,Carla,515.22
2023-04-11,Keyboard,Accessories,South,4.0,49.18,1077,Bob,196.72
2023-05-11,Desk,Furniture,North,5.0,191.46,1012,Alice,957.3
2023-09-14,Laptop,Electronics,East,3.0,844.11,1006,Diego,2532.33
2023-01-05,Webcam,Accessories,East,6.0,67.14,1043,Emma,402.84
2023-08-06,Monitor,Electronics,South,4.0,258.69,1014,Emma,1034.76
2023-09-12,Webcam,Accessories,East,2.0,58.24,1018,Carla,116.48
2023-12-25,Mouse,Accessories,East,2.0,25.16,1062,Alice,50.32
2023-10-10,Mouse,Accessories,North,3.0,22.73,1034,Diego,68.19
2023-07-26,Headset,Accessories,West,7.0,74.56,1080,Alice,521.92
2023-01-15,Keyboard,Accessories,West,1.0,49.11,1034,Emma,49.11
2023-12-12,Mouse,Accessories,East,1.0,22.5,1018,Alice,22.5
2023-02-11,Laptop,Electronics,North,7.0,903.73,1019,Diego,6326.11
2023-06-28,Webcam,Accessories,East,6.0,61.84,1099,Carla,371.04
2023-03-04,Webcam,Accessories,North,6.0,54.82,1034,Bob,328.92
2023-12-18,Headset,Accessories,North,6.0,91.46,1031,Alice,548.76
2023-08-19,Desk,Furniture,North,1.0,172.18,1047,Bob,172.18
2023-08-29,Desk,Furniture,SOUTH,2.0,175.69,1043,Emma,351.38
2023-02-21,Monitor,Electronics,West,1.0,244.0,1023,Carla,244.0
2023-04-06,Headset,Accessories,East,5.0,76.61,1060,Carla,383.05
2023-08-10,Chair,Furniture,East,4.0,108.04,1016,Alice,432.16
2023-08-19,Monitor,Electronics,South,6.0,270.58,1070,Carla,1623.48
2023-08-25,Chair,Furniture,South,2.0,137.01,1049,Alice,274.02
2023-05-23,Desk,Furniture,South,3.0,172.09,1064,Alice,516.27
2023-06-20,Headset,Accessories,West,3.0,85.26,1098,Bob,255.78
2023-01-29,Chair,Furniture,North,4.0,130.26,1031,Carla,521.04
2023-02-05,Headset,Accessories,West,2.0,88.97,1035,Alice,177.94
2023-01-13,Headset,Accessories,East,1.0,80.45,1012,Bob,80.45
2023-06-09,Desk,Furniture,South,1.0,175.63,1069,Diego,175.63
2023-11-23,Monitor,Electronics,East,5.0,245.33,1057,Bob,1226.65
2023-07-06,Monitor,Electronics,South,5.0,269.54,1013,Bob,1347.7
2023-08-31,Headset,Accessories,West,1.0,88.34,1036,Alice,88.34
2023-03-27,Mouse,Accessories,West,3.0,23.64,1078,Emma,70.92
2023-10-11,Keyboard,Accessories,South,6.0,44.67,1067,Emma,268.02
2023-03-07,Desk,Furniture,North,3.0,202.59,1039,Emma,607.77
2023-06-19,Keyboard,Accessories,East,5.0,49.58,1058,Bob,247.9
2023-02-14,Keyboard,Accessories,West,4.0,51.58,1079,Alice,206.32
2023-03-03,Monitor,Electronics,North,1.0,272.14,1091,Carla,272.14
2023-05-14,Monitor,Electronics,East,5.0,249.57,1015,Bob,1247.85
2023-10-11,Mouse,Accessories,East,5.0,26.19,1061,Bob,130.95
2023-01-28,Keyboard,Accessories,East,6.0,47.94,1003,Alice,287.64
2023-04-18,Keyboard,Accessories,North,1.0,41.38,1044,Diego,41.38
2023-02-13,Headset,Accessories,East,6.0,82.89,1089,Bob,497.34
2023-12-06,Monitor,Electronics,West,1.0,269.33,1027,Diego,269.33
2023-10-13,Keyboard,Accessories,North,6.0,42.38,1095,Diego,254.28
2023-11-27,Webcam,Accessories,North,3.0,65.71,1065,Emma,197.13
2023-05-08,Mouse,Accessories,West,4.0,26.15,1030,Alice,104.6
2023-12-14,Chair,Furniture,North,4.0,136.57,1002,Diego,546.28
2023-08-19,Webcam,Accessories,West,1.0,54.64,1007,Alice,54.64
2023-07-09,Webcam,Accessories,South,2.0,57.98,1023,Emma,115.96
2023-08-13,Chair,Furniture,North,7.0,126.05,1014,Alice,882.35
2023-10-10,Desk,Furniture,West,5.0,175.35,1042,Bob,876.75
2023-05-01,Desk,Furniture,South,5.0,194.15,1030,Diego,970.75
2023-04-26,Mouse,Accessories,South,1.0,27.24,1072,Alice,27.24
2023-08-21,Webcam,Accessories,South,6.0,55.54,1044,Carla,333.24
2023-09-16,Keyboard,Accessories,East,2.0,46.28,1065,Alice,92.56
2023-12-25,Monitor,Electronics,North,3.0,256.81,1007,Diego,770.43
2023-07-17,Mouse,Accessories,South,6.0,24.81,1070,Emma,148.86
2023-05-17,Headset,Accessories,West,6.0,90.66,1056,Emma,543.96
2023-11-14,Chair,Furniture,North,1.0,132.83,1079,Diego,132.83
2023-06-14,Webcam,Accessories,East,1.0,64.46,1098,Bob,64.46
2023-08-13,Mouse,Accessories,South,5.0,26.96,1029,Bob,134.8
2023-11-03,Laptop,Electronics,East,1.0,913.89,1073,Emma,913.89
2023-08-22,Laptop,Electronics,North,1.0,1017.22,1017,Emma,1017.22
2023-06-21,Desk,Furniture,West,1.0,193.26,1068,Diego,193.26
2023-06-01,Chair,Furniture,South,5.0,129.87,1092,Bob,649.35
2023-11-11,Monitor,Electronics,North,3.0,278.86,1038,Emma,836.58
2023-06-09,Keyboard,Accessories,North,3.0,43.58,1059,Bob,130.74
2023-04-06,Monitor,Electronics,North,7.0,275.44,1097,Emma,1928.08
2023-08-21,Monitor,Electronics,South,7.0,237.2,1042,Alice,1660.4
2023-06-29,Monitor,Electronics,South,1.0,246.58,1044,Carla,246.58
2023-04-23,Chair,Furniture,West,7.0,118.07,1022,Alice,826.49
2023-11-14,Monitor,Electronics,South,,286.16,1068,Emma,1430.8
2023-02-21,Headset,Accessories,NORTH,3.0,89.13,1093,Carla,267.39
2023-09-25,Chair,Furniture,East,6.0,129.04,1005,Carla,774.24
2023-10-22,Headset,Accessories,East,3.0,86.54,1055,Emma,259.62
2023-04-23,Chair,Furniture,North,3.0,124.86,1003,Emma,374.58
2023-04-11,Desk,Furniture,North,5.0,204.62,1092,Bob,1023.1
2023-04-23,Mouse,Accessories,North,7.0,25.6,1022,Emma,179.2
2023-03-22,Laptop,Electronics,East,6.0,895.62,1005,Diego,5373.72
2023-07-06,Monitor,Electronics,East,5.0,235.19,1031,Emma,1175.95
2023-04-23,Desk,Furniture,South,1.0,197.38,1017,Diego,197.38
2023-01-02,Mouse,Accessories,West,4.0,27.09,1014,Emma,108.36
2023-05-10,Laptop,Electronics,West,3.0,896.48,1039,Bob,2689.44
2023-08-08,Webcam,Accessories,East,4.0,54.38,1095,Diego,217.52
2023-02-23,Keyboard,Accessories,West,5.0,49.94,1072,Alice,249.7
2023-12-09,Headset,Accessories,North,5.0,72.23,1073,Diego,361.15
2023-08-12,Webcam,Accessories,North,5.0,64.56,1083,Bob,322.8
2023-08-13,Chair,Furniture,North,4.0,137.11,1005,Diego,548.44
2023-05-06,Laptop,Electronics,North,5.0,908.47,1062,Emma,4542.35
2023-05-10,Webcam,Accessories,South,1.0,57.52,1066,Emma,57.52
2023-02-22,Keyboard,Accessories,West,5.0,48.43,1010,Bob,242.15
2023-06-21,Desk,Furniture,North,2.0,198.77,1042,Carla,397.54
2023-08-06,Laptop,Electronics,North,7.0,932.95,1016,Emma,6530.65
2023-06-09,Webcam,Accessories,South,4.0,68.51,1095,Alice,274.04
2023-07-17,Headset,Accessories,West,2.0,73.03,1003,Bob,146.06
2023-09-04,Headset,Accessories,South,5.0,82.1,1062,Diego,410.5
2023-11-20,Mouse,Accessories,South,1.0,26.99,1067,Diego,26.99
2023-07-22,Webcam,Accessories,North,3.0,66.94,1080,Alice,200.82
2023-07-03,Monitor,Electronics,North,6.0,236.2,1040,Emma,1417.2
2023-05-03,Webcam,Accessories,West,7.0,66.0,1082,Bob,462.0
2023-09-12,Desk,Furniture,West,6.0,186.87,1004,Alice,1121.22
2023-10-21,Laptop,Electronics,North,5.0,899.22,1031,Emma,4496.1
2023-10-07,Laptop,Electronics,West,7.0,839.64,1085,Bob,5877.48
2023-11-21,Desk,Furniture,East,7.0,200.94,1069,Diego,1406.58
2023-04-08,Webcam,Accessories,West,1.0,56.36,1034,Bob,56.36
2023-07-17,Desk,Furniture,South,7.0,175.94,1021,Carla,1231.58
2023-08-28,Keyboard,Accessories,South,4.0,43.76,1064,Bob,175.04
2023-05-24,Chair,Furniture,South,2.0,134.14,1083,Carla,268.28
2023-04-07,Desk,Furniture,,2.0,192.27,1021,Bob,384.54
2023-07-20,Headset,Accessories,North,2.0,87.93,1010,Carla,175.86
2023-05-04,Desk,Furniture,North,4.0,173.27,1076,Diego,693.08
2023-07-06,Laptop,Electronics,South,6.0,950.6,1002,Emma,5703.6
2023-11-22,Headset,Accessories,East,1.0,83.43,1008,Carla,83.43
2023-12-15,Laptop,Electronics,North,7.0,997.39,1059,Carla,6981.73
2023-09-16,Mouse,Accessories,East,4.0,28.16,1075,Diego,112.64
2023-05-28,Monitor,Electronics,West,2.0,225.76,1086,Carla,451.52
2023-09-09,Laptop,Electronics,North,5.0,961.65,1013,Alice,4808.25
2023-12-12,Headset,Accessories,East,3.0,73.04,1096,Diego,219.12
2023-05-27,Mouse,Accessories,South,7.0,25.93,1017,Alice,181.51
2023-05-28,Laptop,Electronics,West,4.0,874.72,1072,Diego,3498.88
2023-12-18,Keyboard,Accessories,North,4.0,43.95,1022,Carla,175.8
2023-07-18,Desk,Furniture,East,1.0,177.88,1073,Alice,177.88
2023-11-04,Monitor,Electronics,West,1.0,263.83,1082,Carla,263.83
2023-05-08,Laptop,Electronics,West,4.0,885.16,1046,Diego,3540.64
2023-02-08,Mouse,Accessories,East,2.0,27.08,1068,Carla,54.16
2023-12-04,Keyboard,Accessories,South,3.0,45.05,1046,Alice,135.15
2023-12-26,Webcam,Accessories,East,7.0,55.03,1086,Alice,385.21
2023-05-09,Mouse,Accessories,West,1.0,27.4,1029,Carla,27.4
2023-09-24,Desk,Furniture,East,7.0,174.86,1024,Bob,1224.02
2023-05-31,Mouse,Accessories,North,2.0,25.2,1027,Diego,50.4
2023-10-25,Keyboard,Accessories,West,,48.21,1097,Diego,337.47
2023-04-09,Mouse,Accessories,East,5.0,24.58,1024,Carla,122.9
2023-09-20,Keyboard,Accessories,East,1.0,41.14,1073,Bob,41.14
2023-09-09,Laptop,Electronics,North,2.0,894.13,1077,Alice,1788.26
2023-05-24,Chair,Furniture,East,2.0,136.33,1057,Emma,272.66
2023-12-12,Keyboard,Accessories,South,3.0,47.72,1093,Emma,143.16
2023-04-22,Keyboard,Accessories,East,3.0,48.05,1040,Carla,144.15
2023-03-01,Monitor,Electronics,North,5.0,264.52,1024,Bob,1322.6
2023-01-02,Keyboard,Accessories,East,2.0,42.74,1077,Bob,85.48
2023-10-31,Keyboard,Accessories,West,6.0,45.21,1098,Diego,271.26
2023-09-11,Webcam,Accessories,North,2.0,65.26,1047,Alice,130.52
2023-05-20,Chair,Furniture,West,3.0,111.04,1097,Bob,333.12
2023-02-06,Laptop,Electronics,South,6.0,872.52,1009,Emma,5235.12
2023-06-09,Desk,Furniture,West,1.0,174.43,1098,Alice,174.43
2023-01-09,Monitor,Electronics,East,1.0,252.0,1074,Alice,252.0
2023-08-21,Webcam,Accessories,East,7.0,68.71,1010,Carla,480.97
2023-04-09,Headset,Accessories,East,4.0,73.35,1084,Bob,293.4
2023-05-27,Chair,Furniture,WEST,3.0,123.56,1020,Carla,370.68
2023-10-31,Laptop,Electronics,,4.0,850.36,1085,Bob,3401.44
2023-07-27,Laptop,Electronics,South,6.0,1028.4,1044,Diego,6170.4
2023-05-11,Headset,Accessories,East,3.0,74.27,1006,Carla,222.81
2023-06-01,Desk,Furniture,West,5.0,180.16,1080,Carla,900.8
2023-02-23,Keyboard,Accessories,East,2.0,48.8,1063,Emma,97.6
2023-04-30,Webcam,Accessories,East,5.0,64.57,1063,Carla,322.85
2023-06-10,Mouse,Accessories,South,6.0,25.14,1001,Bob,150.84
2023-04-26,Monitor,Electronics,West,3.0,246.66,1075,Emma,739.98
2023-03-16,Mouse,Accessories,North,6.0,24.99,1041,Carla,149.94
2023-04-23,Headset,Accessories,South,2.0,77.29,1081,Carla,154.58
2023-04-14,Laptop,Electronics,North,1.0,856.2,1053,Diego,856.2
2023-12-06,Desk,Furniture,South,1.0,183.74,1074,Carla,183.74
2023-09-11,Laptop,Electronics,South,6.0,870.42,1015,Alice,5222.52
2023-08-15,Monitor,Electronics,South,4.0,242.97,1017,Emma,971.88
2023-04-22,Laptop,Electronics,East,3.0,957.77,1098,Alice,2873.31
2023-04-09,Laptop,Electronics,South,3.0,1027.92,1058,Emma,3083.76
2023-06-02,Monitor,Electronics,South,1.0,262.73,1089,Diego,262.73
2023-12-15,Webcam,Accessories,North,7.0,55.15,1015,Carla,386.05
2023-12-04,Webcam,Accessories,South,5.0,55.13,1005,Carla,275.65
2023-07-13,Monitor,Electronics,North,7.0,284.46,1056,Carla,1991.22
2023-11-06,Desk,Furniture,North,2.0,175.38,1046,Emma,350.76
2023-06-12,Headset,Accessories,East,5.0,73.84,1047,Carla,369.2
2023-07-27,Chair,Furniture,East,5.0,125.97,1041,Alice,629.85
2023-06-18,Laptop,Electronics,East,6.0,950.32,1075,Carla,5701.92
2023-06-10,Desk,Furniture,South,1.0,191.18,1059,Diego,191.18
2023-03-09,Laptop,Electronics,South,7.0,870.17,1076,Alice,6091.19
2023-10-16,Chair,Furniture,West,7.0,108.45,1003,Carla,759.15
2023-10-04,Headset,Accessories,South,1.0,91.3,1001,Carla,91.3
2023-10-31,Webcam,Accessories,South,7.0,57.76,1089,Bob,404.32
2023-05-15,Desk,Furniture,North,1.0,192.42,1058,Emma,192.42
2023-07-14,Keyboard,Accessories,South,6.0,48.45,1026,Alice,290.7
2023-05-08,Keyboard,Accessories,South,4.0,47.36,1026,Bob,189.44
2023-02-02,Chair,Furniture,South,5.0,117.39,1078,Diego,586.95
2023-06-25,Keyboard,Accessories,East,6.0,43.55,1071,Emma,261.3
2023-01-22,Webcam,Accessories,South,3.0,62.97,1006,Alice,188.91
2023-08-26,Chair,Furniture,East,2.0,133.98,1062,Carla,267.96
2023-06-07,Webcam,Accessories,East,4.0,68.2,1045,Alice,272.8
2023-02-07,Headset,Accessories,West,3.0,74.12,1062,Carla,222.36
2023-08-18,Laptop,Electronics,East,5.0,844.84,1011,Emma,4224.2
2023-12-31,Headset,Accessories,WEST,7.0,90.89,1012,Carla,636.23
2023-02-20,Headset,Accessories,North,1.0,86.73,1042,Diego,86.73
2023-09-21,Webcam,Accessories,North,5.0,67.24,1016,Carla,336.2
2023-10-10,Chair,Furniture,North,6.0,114.08,1062,Diego,684.48
2023-01-27,Chair,Furniture,East,2.0,125.63,1080,Emma,251.26
2023-08-14,Keyboard,Accessories,West,6.0,48.39,1035,Emma,290.34
2023-10-04,Mouse,Accessories,North,4.0,26.75,1084,Alice,107.0
2023-10-13,Laptop,Electronics,West,4.0,901.83,1007,Diego,3607.32
2023-04-07,Webcam,Accessories,North,2.0,54.23,1068,Diego,108.46
2023-10-11,Keyboard,Accessories,West,3.0,47.06,1089,Bob,141.18
2023-11-13,Desk,Furniture,South,3.0,173.39,1079,Bob,520.17
2023-10-31,Mouse,Accessories,North,4.0,25.31,1035,Bob,101.24
2023-05-27,Mouse,Accessories,South,4.0,28.48,1027,Carla,113.92
2023-01-04,Webcam,Accessories,North,7.0,59.99,1092,Bob,419.93
2023-02-04,Monitor,Electronics,North,1.0,277.49,1046,Diego,277.49
2023-07-11,Laptop,Electronics,South,7.0,852.42,1075,Carla,5966.94
2023-02-18,Mouse,Accessories,West,7.0,26.7,1029,Emma,186.9
2023-01-17,Webcam,Accessories,South,3.0,68.66,1022,Alice,205.98
2023-06-21,Webcam,Accessories,South,2.0,55.53,1015,Bob,111.06
2023-08-08,Keyboard,Accessories,East,3.0,40.59,1013,Emma,121.77
2023-06-07,Desk,Furniture,East,1.0,181.51,1073,Diego,181.51
2023-02-15,Monitor,Electronics,NORTH,6.0,230.79,1070,Alice,1384.74
2023-01-06,Laptop,Electronics,South,4.0,978.39,1051,Emma,3913.56
2023-04-09,Chair,Furniture,North,4.0,135.44,1036,Alice,541.76
2023-08-21,Headset,Accessories,North,1.0,80.68,1028,Bob,80.68
2023-02-06,Desk,Furniture,East,7.0,173.64,1066,Diego,1215.48
2023-10-07,Desk,Furniture,North,2.0,181.55,1014,Alice,363.1
2023-12-15,Keyboard,Accessories,South,4.0,48.64,1099,Emma,194.56
2023-10-29,Chair,Furniture,East,5.0,108.27,1046,Bob,541.35
2023-06-30,Mouse,Accessories,North,7.0,26.18,1045,Bob,183.26
2023-04-05,Mouse,Accessories,East,4.0,26.33,1051,Emma,105.32
2023-04-09,Keyboard,Accessories,North,5.0,47.67,1018,Emma,238.35
2023-07-07,Webcam,Accessories,West,1.0,57.63,1076,Alice,57.63
2023-04-26,Mouse,Accessories,South,1.0,26.96,1020,Carla,26.96
2023-07-10,Monitor,Electronics,West,7.0,230.71,1063,Bob,1614.97
2023-09-10,Laptop,Electronics,East,4.0,854.84,1036,Alice,3419.36
2023-06-10,Desk,Furniture,North,3.0,201.49,1026,Emma,604.47
2023-09-13,Desk,Furniture,East,5.0,195.24,1054,Alice,976.2
2023-11-19,Monitor,Electronics,West,2.0,225.86,1028,Emma,451.72
2023-05-08,Chair,Furniture,East,4.0,115.45,1019,Diego,461.8
2023-01-18,Mouse,Accessories,West,2.0,23.84,1024,Emma,47.68
2023-10-08,Desk,Furniture,West,4.0,174.19,1069,Emma,696.76
2023-08-11,Headset,Accessories,North,3.0,76.95,1062,Emma,230.85
2023-02-23,Chair,Furniture,North,3.0,109.88,1035,Carla,329.64
2023-02-27,Laptop,Electronics,East,7.0,913.26,1001,Emma,6392.82
2023-11-19,Laptop,Electronics,South,7.0,974.87,1021,Bob,6824.09
2023-12-26,Desk,Furniture,West,3.0,189.3,1095,Bob,567.9
2023-06-23,Keyboard,Accessories,West,6.0,48.07,1015,Alice,288.42
2023-10-07,Chair,Furniture,South,,110.43,1017,Carla,331.29
2023-04-24,Desk,Furniture,North,1.0,204.82,1068,Alice,204.82
2023-10-15,Keyboard,Accessories,East,1.0,49.93,1053,Bob,49.93
2023-12-08,Desk,Furniture,North,,198.23,1099,Bob,1189.38
2023-05-31,Headset,Accessories,West,5.0,88.46,1029,Diego,442.3
2023-05-07,Chair,Furniture,South,2.0,135.98,1044,Emma,271.96
2023-06-04,Webcam,Accessories,East,4.0,62.16,1018,Bob,248.64
