date,temp_c,rainfall_mm,humidity_pct
2023-07-31,11.9,0.0,41.0
2023-08-01,9.3,1.4,41.0
2023-08-02,6.2,0.0,36.0
2023-08-03,8.1,0.0,43.0
2023-08-04,6.8,6.5,36.0
2023-08-05,5.8,0.1,37.0
2023-08-06,10.9,3.4,40.0
2023-08-07,9.3,0.0,53.0
2023-08-08,12.6,0.0,41.0
2023-08-09,6.9,7.5,27.0
2023-08-10,8.8,0.2,37.0
2023-08-11,5.8,0.9,44.0
2023-08-12,7.3,0.0,35.0
2023-08-13,7.9,5.3,44.0
2023-08-14,7.5,1.6,41.0
2023-08-15,8.2,10.4,45.0
2023-08-16,9.9,0.8,38.0
2023-08-17,9.6,2.8,37.0
2023-08-18,6.2,3.3,43.0
2023-08-19,7.6,1.8,41.0
2023-08-20,9.1,0.8,40.0
2023-08-21,9.5,4.0,49.0
2023-08-22,6.0,2.5,44.0
2023-08-23,8.6,0.0,31.0
2023-08-24,7.7,5.7,45.0
2023-08-25,4.8,3.8,45.0
2023-08-26,8.5,0.7,47.0
2023-08-27,7.1,1.9,37.0
2023-08-28,,3.1,43.0
2023-08-29,6.0,2.4,42.0
2023-08-30,6.6,9.7,37.0
2023-08-31,5.2,0.9,47.0
2023-09-01,8.8,1.9,41.0
2023-09-02,8.8,9.7,48.0
2023-09-03,5.4,3.3,39.0
2023-09-04,5.1,3.4,35.0
2023-09-05,5.7,2.5,42.0
2023-09-06,5.5,0.0,44.0
2023-09-07,4.7,1.1,41.0
2023-09-08,-1.6,0.0,28.0
2023-09-09,9.2,4.9,46.0
2023-09-10,5.7,3.3,46.0
2023-09-11,5.2,0.5,48.0
2023-09-12,6.2,2.2,42.0
2023-09-13,,0.8,42.0
2023-09-14,4.6,2.2,52.0
2023-09-15,3.4,3.9,37.0
2023-09-16,1.7,1.8,44.0
2023-09-17,2.6,8.1,46.0
2023-09-18,3.0,0.0,49.0
2023-09-19,6.5,0.0,47.0
2023-09-20,6.6,0.8,42.0
2023-09-21,3.4,4.6,52.0
2023-09-22,-0.2,2.5,47.0
2023-09-23,5.1,0.0,39.0
2023-09-24,4.2,0.0,48.0
2023-09-25,4.2,8.5,50.0
2023-09-26,6.9,1.5,58.0
2023-09-27,5.3,4.9,50.0
2023-09-28,3.1,1.1,41.0
2023-09-29,2.6,4.6,41.0
2023-09-30,,0.5,55.0
2023-10-01,3.2,0.0,45.0
2023-10-02,4.9,2.8,42.0
2023-10-03,7.1,8.6,55.0
2023-10-04,2.3,0.4,48.0
2023-10-05,5.2,0.0,55.0
2023-10-06,6.9,7.5,46.0
2023-10-07,4.9,0.0,58.0
2023-10-08,6.5,0.0,56.0
2023-10-09,4.5,0.0,48.0
2023-10-10,5.5,3.9,44.0
2023-10-11,6.0,7.1,64.0
2023-10-12,4.0,3.8,52.0
2023-10-13,9.2,0.8,49.0
2023-10-14,6.4,2.3,60.0
2023-10-15,7.9,2.6,58.0
2023-10-16,7.5,3.8,60.0
2023-10-17,6.0,3.6,54.0
2023-10-18,8.2,6.6,64.0
2023-10-19,5.9,0.0,48.0
2023-10-20,4.1,3.8,52.0
2023-10-21,5.6,0.4,57.0
2023-10-22,,3.3,62.0
2023-10-23,1.5,2.0,60.0
2023-10-24,4.1,0.2,56.0
2023-10-25,6.0,0.9,55.0
2023-10-26,8.0,0.0,63.0
2023-10-27,4.3,0.0,61.0
2023-10-28,8.1,0.7,54.0
2023-10-29,3.7,10.7,54.0
2023-10-30,4.4,0.0,56.0
2023-10-31,9.2,9.6,56.0
2023-11-01,6.5,0.0,64.0
2023-11-02,6.1,0.0,62.0
2023-11-03,7.0,0.0,63.0
2023-11-04,4.3,0.9,61.0
2023-11-05,6.1,1.4,62.0
2023-11-06,6.9,0.0,53.0
2023-11-07,9.4,0.5,65.0
2023-11-08,3.7,0.0,59.0
2023-11-09,10.7,1.9,62.0
2023-11-10,7.0,7.6,60.0
2023-11-11,5.2,1.0,63.0
2023-11-12,4.9,0.0,66.0
2023-11-13,8.2,0.0,58.0
2023-11-14,5.1,1.0,65.0
2023-11-15,6.7,0.0,62.0
2023-11-16,7.5,0.7,71.0
2023-11-17,10.4,0.9,59.0
2023-11-18,10.3,0.0,60.0
2023-11-19,7.1,4.7,64.0
2023-11-20,8.1,0.0,61.0
2023-11-21,5.4,2.3,65.0
2023-11-22,4.7,2.5,64.0
2023-11-23,6.4,6.4,67.0
2023-11-24,11.3,1.2,72.0
2023-11-25,10.7,0.0,68.0
2023-11-26,,1.6,69.0
2023-11-27,6.5,4.1,63.0
2023-11-28,8.2,4.1,68.0
2023-11-29,8.0,3.6,67.0
2023-11-30,9.6,0.1,72.0
2023-12-01,9.6,1.6,65.0
2023-12-02,8.2,1.4,65.0
2023-12-03,11.1,4.6,71.0
2023-12-04,11.0,0.0,80.0
2023-12-05,9.2,3.6,70.0
2023-12-06,11.4,2.1,72.0
2023-12-07,13.2,13.9,76.0
2023-12-08,14.0,4.6,74.0
2023-12-09,12.3,0.0,74.0
2023-12-10,12.4,1.3,71.0
2023-12-11,11.1,2.4,72.0
2023-12-12,13.8,0.1,69.0
2023-12-13,9.8,0.2,75.0
2023-12-14,13.9,4.9,75.0
2023-12-15,11.7,0.0,77.0
2023-12-16,15.4,10.0,71.0
2023-12-17,13.8,0.9,78.0
2023-12-18,12.6,0.0,80.0
2023-12-19,12.5,0.6,68.0
2023-12-20,14.2,0.7,73.0
2023-12-21,14.2,2.2,81.0
2023-12-22,12.7,0.3,72.0
2023-12-23,13.8,0.6,78.0
2023-12-24,15.6,2.9,75.0
2023-12-25,11.2,4.3,77.0
2023-12-26,15.6,0.0,76.0
2023-12-27,15.4,1.1,80.0
2023-12-28,16.9,0.0,71.0
2023-12-29,13.2,3.3,72.0
2023-12-30,14.8,1.0,84.0
2023-12-31,15.4,0.7,87.0
